Ticker,Debt/Capital Last Year (%),% Assets in Top 10 Holdings,3-year Annualized Return vs. S&P500,Outperform / Underperform
NBNGX,42.5,21.92,3.9899999999999984,1
SSPGX,42.3,50.26,9.06,1
WLVDX,37.89,18.24,-3.450000000000001,0
GEQYX,45.57,27.25,2.03,1
JVAPX,46.38,20.16,-8.46,0
PFGKX,44.99,48.13,6.300000000000002,1
AULYX,42.76,52.32,13.479999999999995,1
VBCVX,39.3,23.96,-10.49,0
OINCX,46.33,22.55,-6.6400000000000015,0
LMCPX,44.93,18.35,-9.13,0
DBMAX,36.19,25.25,19.22,1
SABTX,43.32,23.49,-10.08,0
CGJIX,44.45,38.08,10.98,1
WEMMX,35.72,24.08,-7.04,0
ALVCX,48.12,21.82,-9.31,0
JANEX,43.55,23.14,3.6599999999999984,1
ANFVX,36.95,21.61,-12.72,0
DFDSX,37.71,34.63,9.27,1
RIVEX,29.27,35.27,11.959999999999996,1
VPMOX,45.01,25.87,7.68,1
BFTIX,33.46,41.05,12.55,1
JAPAX,42.02,28.02,-7.44,0
VAGGX,40.95,41.67,7.73,1
WFMIX,43.31,27.55,-5.3900000000000015,0
ALFAX,34.51,100.0,-3.0600000000000005,0
ESPIX,35.09,25.01,-6.9700000000000015,0
KDHTX,45.99,27.66,-7.090000000000002,0
MRBVX,47.32,26.14,-7.82,0
JCSCX,34.52,21.54,-11.87,0
AVUGX,42.43,26.33,-7.080000000000001,0
ASVYX,42.21,23.62,-3.450000000000001,0
CWMEX,46.39,30.64,-3.7500000000000013,0
PASVX,37.19,10.5,-3.4000000000000004,0
NSMAX,33.08,27.51,-8.780000000000001,0
RMOMX,41.36,24.86,3.2899999999999987,1
EGOCX,44.69,30.7,-6.610000000000001,0
DCFGX,39.89,52.41,11.739999999999998,1
CAVYX,43.16,12.73,-2.2700000000000014,0
MBCZX,38.89,42.18,6.41,1
TASCX,27.5,51.64,-9.66,0
PEVAX,48.72,21.5,-5.75,0
ASVIX,42.21,23.62,-4.15,0
RICEX,45.93,34.18,-2.9400000000000004,0
SKSEX,37.99,20.55,-8.370000000000001,0
HSCCX,38.75,24.09,2.17,1
PSGIX,34.71,8.87,9.34,1
MLVMX,43.6,27.06,-2.46,0
MFUZX,47.16,19.97,-8.47,0
FTVNX,53.17,25.96,-5.57,0
JLGMX,41.19,37.1,16.47,1
DDZRX,47.8,31.38,-7.710000000000001,0
SMITX,40.61,40.96,10.79,1
LMVWX,48.15,31.26,-4.080000000000001,0
PKAIX,54.86,25.53,-4.370000000000001,0
MGNDX,43.91,46.38,7.41,1
VCSMX,38.87,10.85,2.879999999999999,1
GCSUX,37.57,7.52,-3.490000000000001,0
OFALX,47.28,19.38,-5.630000000000001,0
VVPSX,47.33,53.52,-6.300000000000002,0
STDFX,39.31,50.65,5.879999999999999,1
JCMVX,44.33,15.45,-9.46,0
RBCGX,41.16,39.53,6.460000000000001,1
MSAJX,46.88,27.51,-8.99,0
PQMAX,41.14,30.2,-11.84,0
VACVX,44.55,22.63,-6.950000000000001,0
FUNYX,44.99,48.13,6.089999999999996,1
IEDZX,47.02,25.55,-6.010000000000002,0
CDVZX,45.17,26.29,-5.790000000000001,0
PEUCX,46.08,26.38,-5.250000000000001,0
IAMOX,45.02,25.86,4.57,1
LSVEX,49.53,16.71,-9.79,0
HWMIX,46.99,33.19,-14.34,0
VSMIX,45.94,31.61,-8.71,0
BRSNX,38.21,14.8,-3.950000000000001,0
CEARX,34.61,15.81,3.719999999999999,1
HSLVX,36.8,11.02,4.66,1
DCCIX,37.61,13.82,-2.09,0
TRSSX,34.58,12.19,6.449999999999998,1
PYEQX,44.62,20.15,-7.300000000000002,0
MAFGX,43.72,44.66,9.16,1
DFTSX,35.6,3.64,-4.3100000000000005,0
PLGIX,39.91,35.21,9.43,1
MMAZX,45.27,47.71,12.659999999999995,1
TORYX,45.04,48.67,-11.670000000000002,0
CSMFX,39.2,16.2,-2.8500000000000014,0
UBVSX,48.95,29.14,-7.920000000000001,0
SBLGX,43.58,44.3,5.27,1
CSVYX,31.89,10.49,-7.3900000000000015,0
VOLMX,38.38,25.6,-8.27,0
WSHFX,46.39,30.64,-3.29,0
IEOPX,45.13,48.26,5.25,1
VRNIX,45.05,24.33,2.7099999999999986,1
SSVIX,39.69,28.48,-6.300000000000002,0
ALFCX,34.51,100.0,-3.1000000000000005,0
ABIZX,36.8,35.28,-11.84,0
MOTLX,42.59,25.3,6.709999999999997,1
HASGX,36.73,24.51,8.29,1
DHMCX,45.01,30.84,-9.19,0
BCSIX,20.36,46.44,10.38,1
MBCYX,38.89,42.18,5.960000000000001,1
CGFEX,41.62,35.89,6.039999999999999,1
GTMEX,43.91,24.45,-12.19,0
CGQYX,47.11,45.88,4.57,1
HNMVX,48.57,14.54,-11.82,0
LRSYX,41.39,20.79,-8.540000000000001,0
ACGIX,46.66,25.17,-9.41,0
LGPSX,44.55,43.95,2.1500000000000004,1
PBCKX,46.28,55.8,9.96,1
PJGCX,45.78,40.12,-13.04,0
BUIMX,40.37,26.69,6.27,1
GGRCX,41.02,43.84,8.11,1
KCSIX,42.04,14.85,-5.37,0
PMSSX,40.46,9.38,-3.8800000000000012,0
ITEAX,49.81,24.25,-8.290000000000001,0
NDVUX,44.04,15.25,-3.66,0
LAFVX,52.63,21.94,-7.340000000000002,0
RTOUX,39.15,6.3,-2.0,0
WHGAX,36.49,20.81,-6.830000000000001,0
HGIYX,44.68,31.6,3.2300000000000004,1
FSCEX,39.59,16.24,-4.090000000000002,0
ABSRX,41.03,15.39,-10.49,0
MSCOX,28.51,54.47,47.61,1
MMQFX,39.07,16.88,-6.780000000000001,0
EQNRX,45.21,33.97,-5.73,0
HDGTX,46.77,29.96,-3.4200000000000013,0
LOMAX,46.5,42.78,-8.040000000000001,0
USMIX,40.35,7.75,4.409999999999998,1
MEPSX,38.64,25.44,-9.58,0
LGRRX,39.72,50.23,4.569999999999999,1
LFVCX,48.15,31.26,-6.32,0
BCMIX,31.14,39.69,10.79,1
LCBOX,50.45,33.57,-2.67,0
TGWFX,36.9,34.29,18.18,1
HQIRX,46.06,27.81,-7.060000000000001,0
FTXCX,41.97,24.83,10.639999999999997,1
RSSYX,42.98,26.7,5.289999999999999,1
TWRCX,40.35,53.59,6.150000000000002,1
LBGIX,43.76,27.54,8.239999999999998,1
ACSLX,42.53,57.74,5.229999999999999,1
VEXMX,39.54,7.65,4.93,1
QGIAX,42.43,42.32,2.599999999999998,1
DAGVX,46.06,26.9,-7.08,0
EQNCX,45.21,33.97,-5.75,0
MPINX,38.64,25.44,-10.77,0
SCCVX,40.47,16.02,-10.2,0
BRSBX,38.21,14.8,-5.440000000000001,0
SVAYX,47.39,21.05,-9.0,0
NDVIX,44.04,15.25,-3.6800000000000006,0
CHCKX,34.76,18.03,11.73,1
AULGX,42.76,52.32,13.14,1
HYBUX,38.13,23.11,-9.38,0
FSGRX,34.4,14.81,10.900000000000002,1
PEINX,46.08,26.38,-4.48,0
MVRRX,46.53,29.38,-7.1800000000000015,0
SVTIX,47.83,44.56,-7.6400000000000015,0
IYSIX,40.52,23.76,7.689999999999998,1
PHPPX,35.93,25.57,11.98,1
ECTMX,45.79,35.47,-2.99,0
CRBRX,34.61,15.81,3.78,1
LEGCX,42.96,43.1,5.41,1
IDHIX,56.22,45.86,-6.6400000000000015,0
ABCIX,45.8,43.08,-2.200000000000001,0
RCOCX,43.73,31.7,-9.18,0
ACLCX,42.43,26.33,-9.48,0
PHSKX,40.67,33.23,19.73,1
JSSGX,33.73,36.66,10.84,1
LMBHX,49.12,34.05,-5.850000000000001,0
FGIZX,50.44,37.08,-3.6700000000000013,0
MNDRX,38.99,18.02,13.81,1
FHMCX,41.17,14.9,-2.4800000000000004,0
FAVCX,41.45,24.19,-7.870000000000001,0
SSMHX,39.18,7.33,3.43,1
JHJIX,49.22,34.53,2.92,1
ASVGX,42.21,23.62,-3.7500000000000013,0
PMFSX,40.46,9.38,-2.8300000000000014,0
PXSCX,44.25,32.06,-4.7200000000000015,0
JUEAX,46.67,40.08,2.890000000000001,1
GEGTX,42.96,43.1,7.600000000000001,1
JVTNX,34.17,19.87,5.460000000000001,1
HRSCX,38.75,24.09,3.67,1
LMCFX,44.93,18.35,-8.39,0
AZBCX,38.15,10.36,-2.890000000000001,0
AAGPX,48.12,21.82,-7.840000000000002,0
JVMIX,46.18,14.88,-6.8900000000000015,0
GFVRX,46.84,36.77,-5.280000000000001,0
BADAX,45.23,38.6,-3.9700000000000006,0
EPLIX,51.58,18.13,-7.780000000000001,0
RMDCX,39.89,22.58,9.989999999999998,1
VYMUX,39.72,8.59,-3.66,0
VSFAX,43.2,18.19,-8.74,0
MLUZX,41.79,20.83,-7.790000000000001,0
BCEGX,50.56,39.42,-4.9700000000000015,0
CSSVX,35.71,22.87,6.399999999999999,1
GFVSX,46.84,36.77,-4.050000000000002,0
FOCKX,39.39,50.9,12.9,1
HLIEX,46.33,22.55,-5.07,0
BUYCX,46.04,46.62,-11.34,0
FCVTX,41.03,19.68,-6.58,0
BMGAX,35.82,26.43,10.829999999999998,1
ISCGX,32.35,34.88,4.8599999999999985,1
SMFAX,36.36,18.81,8.27,1
JAVTX,34.17,19.87,4.93,1
RSCCX,43.24,38.97,6.1099999999999985,1
CRISX,43.82,36.33,-9.0,0
BIOPX,32.67,33.37,27.7,1
FGIKX,50.43,37.1,-3.5000000000000013,0
JSJAX,40.08,26.29,2.429999999999998,1
RTRRX,33.17,17.55,-8.42,0
ALVAX,48.12,21.82,-7.940000000000001,0
WSACX,31.89,37.03,-5.300000000000002,0
CBBRX,38.82,28.98,-6.82,0
RMFGX,48.98,23.07,-4.020000000000001,0
RIVCX,44.34,52.89,-9.19,0
EIVCX,46.08,32.42,-7.110000000000001,0
PMBJX,53.61,29.55,2.379999999999999,1
ATFPX,39.9,59.97,11.29,1
FEXPX,43.39,45.48,-9.65,0
DHTCX,46.68,48.18,-5.07,0
DHSMX,44.13,38.45,-12.3,0
PBEAX,49.78,23.71,-8.040000000000001,0
FKARX,38.66,36.73,9.16,1
ASIMX,43.76,46.27,16.27,1
SUSYX,45.24,22.18,-5.860000000000001,0
GGLIX,45.98,45.68,3.61,1
LEVOX,43.93,58.67,-3.04,0
FEIQX,50.01,29.77,-4.250000000000001,0
AATIX,47.46,26.46,-5.280000000000001,0
TRGOX,36.92,48.46,9.41,1
NMUAX,47.38,42.81,-2.5900000000000007,0
DTLGX,41.6,55.97,6.3599999999999985,1
BIGRX,48.89,16.49,-3.7900000000000014,0
USGIX,43.7,27.14,-4.25,0
DGMIX,35.3,21.73,-10.4,0
FASOX,57.97,18.73,-5.020000000000001,0
TIMVX,44.71,17.82,-9.65,0
MVCJX,43.82,11.35,-5.300000000000002,0
FALGX,50.88,37.56,-4.210000000000001,0
STSIX,33.17,19.91,8.739999999999998,1
APGZX,33.09,46.37,8.8,1
DSEPX,45.05,34.89,3.92,1
CPEIX,48.45,49.61,-3.58,0
PVEYX,48.72,21.5,-5.280000000000001,0
SPRAX,41.96,10.63,-14.830000000000002,0
LYRBX,58.23,47.37,-11.08,0
PMSGX,35.93,25.57,10.61,1
TAAGX,39.79,32.57,2.26,1
FSLVX,48.73,20.85,-6.5900000000000025,0
JDPRX,42.24,27.94,-9.23,0
LVAVX,46.75,19.24,-9.55,0
NMGAX,40.72,17.59,7.030000000000001,1
IMOZX,45.01,25.87,5.239999999999998,1
GCVCX,42.68,18.08,-10.87,0
QASCX,40.72,13.11,-4.4700000000000015,0
NSMCX,33.08,27.51,-10.3,0
CHCIX,34.76,18.03,12.5,1
EDFWX,52.99,30.92,-8.15,0
ABMAX,48.49,18.37,-11.77,0
FAQIX,44.93,25.85,-9.66,0
FTHNX,38.02,27.53,-4.3100000000000005,0
APWVX,45.96,17.68,-3.870000000000001,0
BLYRX,47.17,25.91,4.49,1
LRSPX,41.39,20.79,-9.44,0
SDGTX,42.46,40.52,9.71,1
SGRKX,36.95,39.93,13.009999999999998,1
GWPDX,40.72,100.01,2.379999999999999,1
MXMVX,44.34,11.17,-10.39,0
TMDPX,36.66,24.85,6.330000000000003,1
CAAIX,44.9,35.59,-6.44,0
CSERX,50.95,35.82,-5.78,0
BBVLX,49.71,13.86,-3.8000000000000007,0
TSRPX,36.63,7.72,-2.54,0
GBCIX,46.03,36.15,-6.090000000000002,0
VSRAX,45.94,31.61,-9.14,0
VGRIX,46.29,21.31,-6.050000000000002,0
NSPCX,38.68,14.48,-3.5500000000000007,0
BMCAX,43.46,42.44,6.689999999999998,1
ASERX,42.53,57.74,6.32,1
ALLIX,33.09,46.37,8.599999999999998,1
FFQBX,36.94,47.14,14.179999999999994,1
LADRX,30.88,17.28,23.100000000000005,1
BSVSX,42.42,37.9,-10.87,0
IPEIX,47.03,25.56,-5.760000000000002,0
FSSZX,36.1,11.03,2.2199999999999993,1
DUZRX,45.82,51.77,6.6099999999999985,1
RSQAX,45.23,21.16,-3.4200000000000013,0
MFUYX,47.16,19.97,-8.850000000000003,0
PXSIX,44.25,32.06,-4.200000000000001,0
RSDFX,51.22,31.4,-6.250000000000001,0
RICGX,45.93,34.18,-2.210000000000001,0
HWVAX,38.58,5.13,-8.430000000000001,0
MMCMX,37.51,16.59,2.28,1
MCBAX,47.32,26.14,-8.8,0
BFONX,36.09,69.14,6.029999999999998,1
ITETX,49.81,24.25,-7.86,0
CGRGX,40.72,100.01,2.129999999999999,1
PAVLX,47.45,28.9,-4.400000000000001,0
PCVCX,36.95,21.61,-15.0,0
NASDX,41.09,52.45,13.939999999999998,1
LZFOX,57.99,51.46,-7.73,0
VEXRX,41.07,9.69,7.899999999999999,1
AVEGX,48.17,49.85,3.129999999999999,1
ALCPX,45.19,23.66,-8.14,0
MSERX,33.32,9.73,9.509999999999998,1
MVUSX,47.16,19.97,-8.64,0
HVOTX,46.96,28.13,-6.130000000000001,0
AISZX,33.45,27.84,17.869999999999994,1
ATDCX,50.86,47.52,-13.72,0
RVPHX,24.78,22.54,10.57,1
FDFIX,45.61,26.88,2.1,1
JSCBX,39.03,19.37,-9.56,0
CDDYX,48.58,26.47,-2.3500000000000014,0
PEICX,49.78,23.71,-10.4,0
NBMRX,50.65,31.29,-12.37,0
ELCIX,39.94,46.12,7.979999999999998,1
IICAX,49.49,41.26,-3.98,0
JGMNX,40.7,19.08,3.549999999999999,1
JISCX,34.52,21.54,-10.73,0
BNSCX,35.01,18.35,12.8,1
PFDEX,44.81,86.07,-6.7700000000000005,0
PAMCX,43.55,20.33,3.24,1
CMGVX,33.46,22.99,7.3599999999999985,1
HHDFX,48.24,41.29,-6.49,0
PBLCX,46.28,55.8,7.710000000000001,1
CVCFX,48.71,32.79,-9.36,0
HVOVX,46.96,28.13,-5.660000000000001,0
BARIX,42.69,38.09,7.6099999999999985,1
TPVIX,39.57,28.06,-7.2,0
PSMPX,47.32,21.34,-3.860000000000001,0
PEIIX,46.08,26.38,-2.950000000000001,0
SEEGX,41.19,37.1,15.9,1
JCNRX,48.6,44.05,5.57,1
LCEIX,49.75,28.22,-6.75,0
CSXCX,45.92,25.75,2.6999999999999997,1
SDGCX,42.46,40.52,7.41,1
SCVNX,38.05,13.38,-7.4300000000000015,0
HFDFX,40.2,18.91,-4.33,0
DLMCX,45.5,18.57,-10.96,0
MAWNX,41.28,33.01,-5.1000000000000005,0
QLSGX,37.62,13.61,2.8000000000000007,1
EAGCX,43.22,55.26,7.16,1
BPSCX,47.06,19.15,-8.46,0
MOTAX,42.59,25.3,6.099999999999998,1
TLCIX,47.1,47.56,-3.7,0
NEFOX,49.15,31.65,-5.99,0
DHLYX,45.86,31.69,-3.530000000000001,0
STSVX,34.47,17.65,-4.600000000000001,0
GVCAX,43.97,53.95,-7.4300000000000015,0
BMSFX,40.47,16.5,-4.0200000000000005,0
JGAUX,40.87,8.45,-3.770000000000002,0
DMCVX,42.66,23.9,-5.6400000000000015,0
BRSGX,47.69,16.01,-3.76,0
TLCYX,47.1,47.56,-3.890000000000001,0
SPSAX,45.67,10.98,-11.82,0
HIGYX,48.21,36.09,-4.3900000000000015,0
SSMLX,39.43,100.0,4.889999999999999,1
RLUEX,43.93,58.67,-2.450000000000001,0
IEDRX,47.02,25.55,-7.160000000000001,0
ASMZX,43.76,46.27,16.99,1
HFDYX,40.2,18.91,-4.500000000000001,0
SPSCX,45.67,10.98,-11.260000000000002,0
JDMAX,43.55,23.14,2.9800000000000004,1
MMIJX,46.7,11.61,-6.9300000000000015,0
CSMIX,31.89,10.49,-8.27,0
MASCX,35.28,14.73,13.57,1
LGSCX,35.38,6.56,-5.8900000000000015,0
JPDEX,46.65,43.21,2.9599999999999986,1
ADNYX,30.68,52.72,36.41,1
ACWIX,45.5,32.56,6.849999999999998,1
TILHX,37.88,44.31,10.18,1
ABVYX,45.8,33.03,-11.010000000000002,0
LCGJX,40.64,50.81,10.639999999999997,1
BRULX,46.17,20.55,-7.85,0
JVLIX,43.73,26.16,-8.540000000000001,0
DSGEX,33.53,40.7,23.63,1
AFPUX,57.53,45.97,-17.450000000000006,0
BMSTX,40.47,16.5,-4.0200000000000005,0
WFEIX,33.07,25.97,14.11,1
DENVX,38.64,25.44,-9.79,0
WFSPX,45.66,27.27,2.0600000000000005,1
RGEBX,41.62,35.89,5.6099999999999985,1
RMEBX,48.98,23.07,-5.710000000000001,0
BDSKX,38.16,7.16,3.27,1
JFRDX,42.87,48.44,10.16,1
SGZFX,46.92,54.8,7.7600000000000025,1
SHRAX,43.08,54.69,-3.03,0
SUWCX,47.55,35.36,-2.120000000000001,0
CVSDX,45.57,18.89,-4.91,0
ASPYX,38.07,48.81,10.009999999999998,1
VTSAX,44.62,22.34,2.7100000000000013,1
KDHIX,45.99,27.66,-7.250000000000001,0
LMOPX,52.52,38.73,7.120000000000001,1
LVORX,39.31,19.9,-4.260000000000002,0
JHJRX,49.22,34.53,3.1599999999999984,1
BRUKX,46.17,20.55,-8.39,0
BWLRX,45.66,15.96,-10.18,0
TRSAX,39.14,45.62,6.929999999999996,1
ALGZX,41.48,48.14,8.18,1
SMVSX,45.94,31.61,-8.370000000000001,0
DCCRX,37.61,13.82,-3.140000000000001,0
BRGKX,45.05,23.99,2.68,1
TWCUX,42.76,52.32,12.7,1
TADFX,44.63,32.97,-11.74,0
PEMGX,53.61,29.55,2.039999999999999,1
VRMCX,38.09,43.55,3.1300000000000012,1
MDVSX,48.45,23.98,-7.73,0
STSGX,33.17,19.91,8.059999999999999,1
TIHGX,36.63,56.96,6.709999999999997,1
LMBCX,35.38,6.56,-7.31,0
LAVYX,47.85,22.34,-7.16,0
PSYGX,36.33,19.06,14.09,1
LGILX,43.27,46.16,8.29,1
GSPSX,44.33,26.89,2.25,1
MFEJX,40.32,43.55,8.629999999999999,1
KCVVX,45.73,22.14,-7.31,0
EIPDX,41.39,6.72,-6.870000000000001,0
HRLVX,38.33,33.69,-2.3100000000000005,0
DRSVX,41.05,18.95,-10.52,0
FACSX,43.17,20.43,-9.91,0
GWILX,46.83,25.61,-4.3500000000000005,0
CBMSX,39.59,28.61,-5.770000000000001,0
ANVIX,45.19,23.66,-7.940000000000001,0
PNBAX,45.19,23.66,-8.65,0
PMFPX,40.46,9.38,-2.59,0
AICFX,45.93,34.18,-2.990000000000001,0
ATDIX,50.86,47.52,-11.45,0
ESSIX,49.55,34.53,-4.830000000000001,0
AUIZX,48.83,40.45,-5.7200000000000015,0
TQMIX,36.66,24.85,6.59,1
PNOBX,48.28,35.23,4.5299999999999985,1
AUICX,48.83,40.45,-7.8900000000000015,0
PPQNX,36.97,17.86,5.3599999999999985,1
IGRFX,31.11,26.98,14.55,1
TRZZX,34.51,12.21,7.719999999999999,1
GSRIX,49.28,18.17,-3.4200000000000013,0
SWPPX,45.66,27.08,2.039999999999999,1
HSRRX,38.75,24.09,3.139999999999999,1
VVOCX,48.26,37.64,-11.62,0
TNVAX,46.75,24.27,-6.2200000000000015,0
MSMFX,37.12,44.11,43.00999999999999,1
BACVX,35.91,10.68,-9.98,0
MGRPX,34.43,51.16,28.54,1
HFMTX,40.51,19.31,3.01,1
TDVFX,55.36,38.29,-14.15,0
BPTUX,41.31,88.01,40.56999999999999,1
TVRFX,42.37,47.28,-4.120000000000001,0
VEIPX,48.25,26.85,-5.170000000000001,0
CVGRX,38.6,43.72,4.48,1
JPELX,46.65,43.21,3.2899999999999987,1
JVSIX,39.25,25.77,-7.52,0
FFIDX,43.72,43.63,3.9099999999999984,1
MFUNX,47.16,19.97,-9.88,0
WSCGX,39.82,14.14,3.93,1
MXMGX,42.59,19.21,3.3599999999999994,1
HWSIX,39.9,38.2,-9.87,0
CMVIX,43.46,42.44,7.2399999999999975,1
NVDAX,40.33,100.0,-2.450000000000001,0
FVADX,35.23,25.89,-5.110000000000001,0
HVOCX,46.96,28.13,-8.43,0
EPLDX,51.58,18.13,-6.5600000000000005,0
CRMEX,43.57,32.97,-6.380000000000001,0
OBSIX,38.24,26.47,5.32,1
TPWCX,46.88,21.39,2.7399999999999984,1
GSMGX,35.32,18.49,11.36,1
GUERX,42.96,31.81,2.5699999999999985,1
SVAIX,50.79,41.9,-10.57,0
WLVLX,37.89,18.24,-3.5700000000000003,0
TCLCX,47.1,25.24,-8.55,0
DSGIX,35.24,9.3,6.819999999999998,1
VWNDX,45.3,19.03,-4.920000000000001,0
SCAYX,52.58,19.53,-11.6,0
BRUGX,46.17,20.55,-9.39,0
RMFHX,48.98,23.07,-4.290000000000001,0
TRMVX,47.39,21.05,-9.52,0
TLORX,46.19,21.73,-8.96,0
GSRRX,49.28,18.17,-4.4700000000000015,0
JCAPX,42.87,48.44,10.29,1
TSPIX,32.35,34.88,5.1400000000000015,1
CSRYX,50.95,35.82,-5.570000000000001,0
HAMVX,48.57,14.54,-11.99,0
SWLSX,44.5,47.6,3.3299999999999983,1
DDFRX,49.75,28.22,-7.41,0
BASAX,39.39,26.97,5.84,1
HICVX,52.91,27.15,-11.3,0
ABSKX,41.03,15.39,-9.87,0
MJRFX,45.33,20.75,-4.15,0
JLGZX,41.19,37.1,14.77,1
VSOIX,31.18,15.2,-4.24,0
LSVAX,40.2,13.17,-9.36,0
PCCOX,45.27,27.77,2.28,1
SFMRX,36.36,18.81,9.54,1
VFPIX,42.28,58.32,-4.840000000000002,0
GBSCX,30.45,30.2,-5.98,0
SEQUX,33.26,47.72,3.219999999999999,1
JCNAX,48.6,44.05,6.77,1
SZCIX,42.89,24.53,-3.28,0
SBHAX,43.56,28.08,2.3599999999999994,1
VVOSX,48.26,37.64,-9.4,0
DFSGX,37.71,34.63,9.46,1
BISCX,35.01,18.35,13.36,1
CCASX,29.53,30.54,6.169999999999997,1
FGIRX,50.44,37.08,-4.500000000000001,0
SSETX,29.89,25.47,19.48,1
WPSIX,47.96,63.01,5.949999999999998,1
SVFFX,53.57,52.88,-3.150000000000001,0
WSMIX,36.85,19.08,-10.88,0
ENSBX,48.71,65.08,6.66,1
SDIVX,48.61,54.38,-9.36,0
JNVYX,49.07,39.23,-2.040000000000001,0
SELCX,43.35,39.96,7.1099999999999985,1
POPFX,36.06,24.46,-4.500000000000001,0
USPFX,53.2,64.89,-4.690000000000001,0
ALCKX,33.09,46.37,7.879999999999999,1
JMGFX,40.57,16.57,12.330000000000002,1
FEAIX,45.53,56.46,-11.05,0
QMLAX,36.74,92.75,2.1999999999999997,1
TRMIX,41.93,23.29,-5.920000000000001,0
MVIAX,47.55,18.74,-5.120000000000001,0
RVPIX,24.78,22.54,10.73,1
TGVNX,43.53,31.22,-10.19,0
GMVCX,42.65,10.2,-8.17,0
HILVX,38.33,33.69,-2.5300000000000007,0
DHTYX,46.68,48.18,-2.66,0
ICVPX,43.44,13.39,-7.200000000000001,0
RICFX,45.93,34.18,-2.3100000000000005,0
WFSSX,40.92,21.7,-5.870000000000001,0
WFLVX,39.05,25.3,-7.450000000000001,0
IHSUX,34.38,16.59,15.21,1
HFMIX,40.51,19.31,2.99,1
PTWAX,40.34,37.92,2.7300000000000004,1
ISGEX,40.52,23.76,6.7499999999999964,1
VSEMX,39.54,7.65,5.299999999999999,1
BALVX,46.64,23.54,-8.620000000000001,0
RSMRX,35.45,20.47,3.129999999999999,1
MSCGX,40.68,8.58,-2.2300000000000004,0
SMDOX,44.66,50.71,-2.390000000000001,0
SMDLX,54.67,36.62,-6.290000000000001,0
GATAX,44.6,22.68,-5.350000000000001,0
EFCAX,41.75,40.42,10.989999999999998,1
GCMAX,43.96,16.66,-3.850000000000001,0
SDVRX,41.96,10.63,-15.44,0
COGLX,49.77,18.91,-3.0600000000000005,0
MNNAX,44.85,28.49,-5.290000000000001,0
MPDIX,41.38,42.68,5.6,1
OIERX,46.33,22.55,-4.770000000000001,0
MOTZX,42.59,25.3,7.23,1
FFIOX,36.15,32.26,-16.32,0
LADVX,30.88,17.28,24.46,1
GMYPX,45.96,23.48,-6.32,0
MNDHX,38.99,18.02,14.38,1
LGOFX,42.42,19.25,9.11,1
MXNZX,41.59,7.32,-2.130000000000001,0
HFCVX,52.91,27.15,-11.7,0
EAFRX,45.53,56.46,-11.52,0
CGQFX,47.11,45.88,4.34,1
GTMUX,35.32,18.49,13.81,1
POLIX,37.69,58.11,10.41,1
DSEFX,45.05,34.89,3.34,1
FAKDX,44.13,42.99,-7.81,0
LMORX,52.52,38.73,8.149999999999999,1
SCVAX,38.05,13.38,-8.030000000000001,0
SPSDX,45.67,10.98,-13.25,0
NMUCX,47.38,42.81,-4.12,0
ACFGX,42.44,50.68,22.32,1
LOVLX,44.93,18.35,-8.030000000000001,0
OVECX,46.91,35.51,-9.34,0
OGFAX,45.62,26.97,2.01,1
ANOGX,41.98,13.37,13.46,1
FFDKX,43.72,43.63,4.099999999999998,1
ADNAX,30.68,52.72,37.14,1
OCLGX,40.74,41.85,3.810000000000001,1
CBEJX,41.77,29.69,-5.1400000000000015,0
CFSIX,43.0,56.47,17.16,1
LBGCX,43.76,27.54,5.949999999999998,1
TSCHX,36.63,7.72,-2.390000000000001,0
LCBIX,43.87,21.23,-12.24,0
LGLVX,37.03,33.77,20.36,1
MNRMX,45.33,49.6,-8.48,0
LCIAX,45.02,24.22,2.74,1
SGFCX,36.45,24.74,25.05,1
OLGCX,41.19,37.1,14.209999999999996,1
MSEFX,38.87,28.94,-2.6500000000000004,0
MXOAX,46.11,37.99,-5.820000000000001,0
IRLSX,46.21,54.12,9.66,1
VVISX,47.33,53.52,-5.6000000000000005,0
SCGNX,42.14,33.03,8.93,1
RSGCX,45.13,23.21,-4.07,0
JMGPX,40.57,16.57,11.32,1
MARFX,45.33,20.75,-4.2700000000000005,0
WSCRX,39.82,14.14,4.059999999999999,1
QBLGX,47.19,41.6,6.98,1
VDSRX,44.89,30.44,-2.9600000000000017,0
AVFIX,39.08,11.91,-7.710000000000001,0
ATIRX,59.77,59.42,-6.780000000000001,0
LCBVX,51.22,34.04,-6.9700000000000015,0
JHSGX,41.11,48.66,6.029999999999998,1
ATDAX,50.86,47.52,-12.21,0
EICVX,45.3,34.51,-6.8100000000000005,0
HDGCX,46.77,29.96,-5.560000000000001,0
BSVGX,35.91,10.68,-9.16,0
ALVIX,40.99,40.88,-6.6000000000000005,0
SPYGX,49.43,49.17,22.62,1
LLSCX,57.97,65.19,-4.7,0
DMCYX,42.66,23.9,-4.94,0
HSMAX,40.27,19.35,-6.590000000000002,0
SASVX,38.54,40.16,-10.16,0
DWOAX,39.71,46.16,10.13,1
LSITX,43.58,44.3,6.1099999999999985,1
CFDAX,38.87,29.03,-7.170000000000001,0
ETGLX,40.94,35.55,12.5,1
THLCX,44.55,55.73,10.080000000000002,1
BAWAX,41.05,39.02,10.06,1
SLRYX,43.35,39.96,7.66,1
PIGFX,44.99,48.13,5.41,1
GACIX,40.94,19.45,-6.070000000000001,0
