Ticker,Debt/Capital Last Year (%),% Assets in Top 10 Holdings,3-year Annualized Return vs. S&P500,Outperform / Underperform
FSVSX,39.52,17.49,-15.04,0
FAMWX,43.39,50.29,-3.770000000000002,0
SZCRX,42.89,24.53,-3.1900000000000004,0
TMMAX,45.5,22.66,-5.410000000000001,0
TRMCX,41.93,23.29,-6.200000000000001,0
JPFRX,45.23,40.37,2.77,1
HIBUX,38.13,23.11,-8.600000000000001,0
FMVQX,43.17,20.43,-7.250000000000001,0
HMIAX,28.27,13.63,-17.66,0
HSZCX,53.93,23.73,-33.05,0
NSMRX,33.08,27.51,-8.270000000000001,0
JVAIX,46.38,20.16,-7.6400000000000015,0
JDVRX,49.78,23.71,-8.850000000000003,0
PPUSX,39.91,35.21,8.75,1
DAFGX,39.89,52.41,13.43,1
IHSIX,34.38,16.59,15.06,1
MALVX,46.21,17.78,-6.36,0
APHLX,46.18,40.65,-6.4,0
GRGTX,46.54,26.81,-5.740000000000001,0
PSLCX,41.64,15.3,-11.03,0
SZCTX,42.89,24.53,-3.8000000000000007,0
PPSNX,43.65,19.96,-7.15,0
WPLCX,45.12,60.32,-10.96,0
SVPSX,39.13,7.75,-10.3,0
PSVAX,40.45,13.19,-8.48,0
JBGCX,36.48,48.03,4.18,1
LAMRX,49.18,29.38,-2.53,0
LCGRX,33.12,17.11,7.2499999999999964,1
DLMAX,45.5,18.57,-9.4,0
SPMIX,40.22,7.55,-2.74,0
GWSVX,54.31,53.98,-10.9,0
BPSIX,47.06,19.15,-7.9300000000000015,0
DMVIX,38.16,10.33,-2.5500000000000007,0
RMFFX,48.98,23.07,-4.130000000000001,0
FRSIX,37.87,18.99,10.779999999999998,1
MNDCX,38.99,18.02,12.68,1
RGSFX,40.72,100.01,2.0599999999999987,1
SSTFX,35.31,49.59,6.699999999999998,1
MMFVX,51.41,37.72,-2.720000000000001,0
GSVPX,42.65,10.2,-5.4700000000000015,0
PFEIX,42.66,15.43,-10.22,0
GTSRX,39.16,14.9,8.7,1
AMFCX,48.98,23.07,-6.23,0
ACSTX,46.41,25.49,-9.59,0
BRGNX,45.05,23.99,2.5699999999999985,1
HPEYX,38.99,46.88,-10.84,0
POGBX,45.06,50.33,8.649999999999999,1
BRWJX,43.04,43.99,5.519999999999998,1
CBMCX,39.59,28.61,-7.960000000000001,0
RWMAX,46.39,30.64,-4.790000000000001,0
VCNIX,40.73,53.5,13.97,1
LMBAX,35.38,6.56,-5.740000000000001,0
NEJYX,42.78,31.14,-6.120000000000001,0
DNLCX,44.1,12.11,-11.0,0
FGSRX,41.82,28.99,4.369999999999999,1
GMHPX,49.28,18.17,-3.2700000000000014,0
CSMVX,22.74,34.43,9.439999999999998,1
DEURX,45.82,51.77,5.039999999999999,1
WEIMX,35.72,24.08,-6.53,0
FSSKX,43.14,25.51,2.16,1
MCFOX,43.45,46.84,8.580000000000002,1
PEQLX,51.57,25.41,-3.8000000000000007,0
CVQZX,47.62,23.52,-9.170000000000002,0
MMERX,42.18,11.18,-10.97,0
LFEIX,46.51,25.74,-9.35,0
CVAAX,44.66,37.18,-2.210000000000001,0
JDVVX,43.73,26.16,-8.420000000000002,0
CHDRX,49.67,31.64,-10.18,0
PFPRX,38.99,34.07,2.039999999999999,1
IMOWX,45.01,25.87,4.899999999999999,1
HDGIX,46.77,29.96,-3.390000000000001,0
TILIX,45.05,43.63,10.509999999999998,1
WESWX,42.35,28.72,-6.9300000000000015,0
AMCSX,48.49,18.37,-12.15,0
BWLIX,45.66,15.96,-10.920000000000002,0
NOIEX,52.62,29.4,-2.9399999999999995,0
TSVAX,42.61,9.06,-12.23,0
PKAPX,54.86,25.53,-4.58,0
TNVCX,46.75,24.27,-5.7200000000000015,0
ISPVX,41.94,29.91,-3.94,0
CDORX,51.22,31.4,-6.380000000000001,0
TCRAX,40.35,53.59,7.789999999999999,1
APHMX,31.15,29.57,14.07,1
ARSMX,42.69,35.51,-4.780000000000001,0
CSXRX,45.92,25.75,4.9700000000000015,1
VMGRX,45.19,16.82,6.309999999999999,1
NBMVX,37.83,18.32,14.97,1
FOGPX,42.17,20.4,6.4899999999999975,1
CHHRX,34.93,25.2,22.89,1
QSVIX,47.32,46.89,-14.73,0
DSGYX,35.24,9.3,6.920000000000003,1
THCRX,39.26,47.92,7.710000000000001,1
BFGIX,43.66,77.71,34.28999999999999,1
MLPSX,43.64,10.53,-10.5,0
GUESX,42.96,31.81,3.639999999999999,1
FDEGX,39.87,21.86,4.599999999999998,1
MSVZX,41.2,12.21,-7.170000000000001,0
SNWAX,43.75,38.11,-6.53,0
TWUIX,42.76,52.32,13.15,1
AMCCX,48.49,18.37,-13.21,0
