Ticker,Morningstar Sustainability Rating,Average Market Cap ($ mil),ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,Turnover Ratio (%),Average Manager Tenure (years),Expense Ratio (%),Minimum Initial Purchase ($),Total Assets ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform,No-load Funds,Closed to New Investors
SIPIX,3,14517,20.34,42.86,220,10.05,108,9,1.2,100000,75,-7.150000000000001,0,1,0
MSSLX,5,2789,-24.26,28.51,44,54.47,99,16,1.84,1000,1361,48.25,1,0,1
ANONX,3,4039,-1.98,41.98,143,13.37,141,5,1.02,5000000,1900,13.43,1,1,0
BCMSX,5,19969,17.9,31.14,40,39.69,12,10,1.15,5000,47,10.260000000000002,1,1,0
STVYX,3,62324,26.45,45.5,174,22.66,27,10,0.75,100000,984,-4.910000000000001,0,1,0
GMZPX,3,169369,33.75,43.94,117,45.77,218,9,0.53,0,2000,5.44,1,1,0
MKDVX,2,76534,11.89,44.52,95,24.86,40,4,0.58,5000000,18867,-5.130000000000001,0,1,0
TRLHX,3,107843,17.05,47.1,86,25.24,26,2,0.46,0,5227,-8.0,0,1,0
TWUAX,3,304076,30.27,42.76,63,52.32,6,11,1.22,2500,19061,12.14,1,0,0
DMCFX,4,20068,16.7,36.63,91,20.13,131,10,0.71,1000000,6886,10.079999999999998,1,1,0
SUVZX,3,39815,6.3,42.58,197,17.7,56,7,0.8,0,338,-12.34,0,1,0
VTCIX,3,129794,25.43,45.1,846,24.41,5,5,0.06,5000000,14170,2.7399999999999984,1,1,0
MSEQX,1,55810,-5.08,34.43,46,51.16,87,15,0.58,5000000,17851,28.33,1,1,0
ISMSX,3,8875,9.19,41.92,194,14.31,52,10,1.24,0,356,-7.050000000000002,0,0,0
FFLYX,3,165026,31.57,33.18,53,46.45,31,3,0.09,0,395,9.62,1,1,0
WPRSX,4,100343,29.22,47.96,21,63.01,23,12,1.42,0,981,4.749999999999998,1,0,0
OMECX,2,3850,8.46,40.22,688,5.28,49,3,1.1,1000,1006,-5.870000000000001,0,0,0
FNKLX,4,51303,13.05,41.58,117,24.23,47,4,0.0,0,8974,-4.1400000000000015,0,1,0
MMYLX,4,2072,3.56,41.2,191,12.21,57,1,1.3,0,221,-7.780000000000001,0,1,0
PPSSX,3,69056,15.17,43.65,866,19.96,55,12,1.09,0,2384,-6.41,0,1,0
VYRDX,2,2689,2.61,43.44,123,13.39,25,15,0.87,0,163,-6.370000000000001,0,1,0
MXLSX,3,2643,7.65,41.28,130,13.23,25,7,1.09,0,435,-8.030000000000001,0,1,0
SBQIX,4,39243,19.71,42.96,27,40.95,248,4,1.88,1000000,6,-9.22,0,1,0
JIVRX,3,42379,15.56,50.56,143,19.43,79,5,0.44,0,248,-7.380000000000001,0,1,0
ACRNX,2,7880,7.8,34.61,114,15.81,101,3,0.85,2000,5098,3.7099999999999986,1,1,0
OBMCX,3,818,6.22,34.28,69,28.2,112,12,1.58,1000,87,3.52,1,1,0
AAMOX,2,4407,-5.69,43.78,53,45.56,64,3,1.03,0,4,17.299999999999994,1,1,0
MPSIX,3,6301,10.63,40.46,404,9.38,24,3,0.23,0,1246,-2.200000000000001,0,1,0
BVDIX,3,3333,8.98,32.32,86,19.18,116,18,1.25,500000,50,-11.65,0,1,0
EILVX,2,64402,13.9,40.66,69,27.78,62,4,0.79,250000,1538,-4.6800000000000015,0,1,0
BPTRX,1,109415,9.7,41.31,32,88.01,8,10,2.22,2000,6876,39.91,1,1,0
ISORX,3,3443,0.33,38.68,144,14.48,131,10,1.65,0,241,-2.4700000000000006,0,0,0
DASCX,2,1424,9.66,29.3,77,24.64,157,13,1.15,1000,155,-9.83,0,1,0
NQCFX,5,119999,45.13,56.23,22,58.06,23,19,1.6,1000,6,2.1099999999999994,1,1,0
IVCSX,3,3049,4.04,41.14,159,12.03,125,12,0.89,0,466,-4.7700000000000005,0,1,0
OCSVX,4,3985,8.14,47.92,268,20.1,33,3,2.22,1000,656,-10.94,0,0,0
SFVTX,3,36515,17.73,41.52,101,27.36,47,6,2.32,500,178,-12.69,0,0,0
PFQDX,3,3174,-0.33,41.52,114,14.15,42,4,0.98,0,16,-6.33,0,1,0
PGILX,1,92824,16.08,52.34,56,40.43,294,2,0.87,0,731,-4.330000000000001,0,1,0
BMSYX,4,15050,13.58,40.47,146,16.5,81,4,0.49,0,389,-3.2700000000000014,0,1,0
CBECX,4,33782,12.31,41.77,48,29.69,33,16,1.83,1000,259,-7.56,0,0,0
BERCX,2,12690,10.92,41.9,35,39.02,35,2,0.9,1000,29,-9.9,0,1,0
TMITX,4,14377,18.89,39.94,35,39.99,91,2,0.78,0,550,2.4499999999999997,1,1,0
BRSQX,3,3031,4.16,38.21,176,14.8,75,5,1.59,250,335,-5.080000000000001,0,0,0
FMAGX,4,205608,32.5,46.0,74,34.3,106,2,0.76,0,22150,2.369999999999999,1,1,0
PABWX,3,12080,9.74,40.77,717,13.97,66,12,1.01,0,2393,-5.82,0,1,0
WLCGX,3,263654,31.32,41.6,307,55.97,43,4,1.0,250000,267,7.029999999999998,1,1,0
ELCRX,3,200103,26.65,39.94,62,46.12,40,15,1.3,1000,402,6.889999999999998,1,0,0
MDDVX,2,76534,11.89,44.52,95,24.86,40,4,0.95,1000,18867,-5.880000000000001,0,0,0
PLGAX,3,173751,24.37,39.91,499,35.21,34,12,0.99,1000,12476,8.7,1,0,0
GTSCX,3,3470,6.62,44.02,89,17.88,36,12,0.74,10000000,1286,-4.980000000000001,0,1,1
MACGX,3,22663,-15.1,37.12,55,44.11,65,16,1.0,1000,5424,45.01000000000001,1,0,0
MDKTX,2,6298,10.65,40.51,403,7.55,18,8,0.93,0,446,-3.6700000000000013,0,0,0
JENIX,2,198122,34.11,47.07,28,54.58,23,12,0.6,250000,9858,2.6899999999999995,1,1,0
SVALX,2,85761,18.86,50.79,42,41.9,38,6,0.78,0,7153,-10.6,0,1,0
JDMNX,4,15538,13.87,43.55,85,23.14,14,9,0.66,1000000,22855,3.9599999999999986,1,1,0
LCLIX,4,95714,22.35,51.22,55,34.04,23,15,0.61,0,1729,-5.6800000000000015,0,1,0
CGFYX,3,227999,28.23,42.96,57,43.1,46,3,0.68,1000000,5052,7.800000000000002,1,1,0
TNVRX,2,2471,0.5,46.75,145,24.27,19,6,1.5,0,136,-6.740000000000001,0,0,0
ESPHX,1,2144,8.29,35.09,129,25.01,39,9,1.52,0,4774,-7.66,0,1,1
HSLCX,3,3893,-1.72,36.8,174,11.02,58,6,1.91,2000,984,2.2399999999999984,1,0,0
GEFPX,3,133586,29.71,49.39,292,44.2,263,4,2.21,250000,3,-6.36,0,1,0
TGCNX,5,162356,27.65,39.77,31,53.96,4,17,0.99,2000,842,9.760000000000002,1,1,0
ARSQX,1,56060,18.25,38.51,47,33.68,86,4,0.78,2500,432,-2.27,0,1,0
MLVBX,2,97561,24.54,43.6,92,27.06,34,6,1.64,1000,601,-2.4799999999999995,0,0,0
JHERX,1,54510,14.57,49.82,120,23.97,31,5,1.84,1000,2055,-9.71,0,0,0
MNDBX,4,4364,-1.95,38.99,121,18.02,64,7,2.02,1000,2840,12.7,1,0,0
FZAHX,2,121246,11.44,37.91,268,35.55,47,6,0.68,0,19894,27.35,1,1,0
TRCVX,3,61799,13.3,44.85,850,16.35,33,8,0.3,0,7756,-6.170000000000001,0,1,0
MFVFX,3,118460,24.13,51.41,71,37.72,41,4,1.19,0,762,-3.03,0,1,0
FKASX,3,3756,-8.59,33.34,272,11.71,20,9,1.35,1500,10761,15.04,1,0,0
LAFTX,4,93311,24.07,52.63,72,21.94,63,4,0.48,0,5791,-7.500000000000001,0,1,0
CPXRX,2,6330,10.72,40.42,403,8.73,14,2,0.2,0,3403,-2.1999999999999997,0,1,0
ATAFX,4,33293,20.03,51.33,44,33.93,46,19,1.45,2500,25,-8.42,0,1,0
HWCAX,2,47344,6.53,49.24,72,34.66,28,16,1.05,2500,85,-9.63,0,0,0
THPMX,3,7845,7.61,48.04,96,20.88,34,13,1.15,250,57,-4.8900000000000015,0,1,0
HGOYX,1,89863,16.38,44.18,73,40.21,118,13,0.78,250000,7515,14.61,1,1,0
KNGYX,1,39270,22.93,47.51,66,17.84,170,3,0.71,10000000,62,-3.370000000000001,0,1,0
DEOPX,4,21973,21.32,51.67,28,44.8,21,9,0.9,5000,621,3.1099999999999994,1,1,0
MIGDX,4,162582,28.83,42.15,54,42.39,23,8,1.47,1000,9996,4.7799999999999985,1,0,0
QUAIX,3,4555,-3.25,27.6,114,16.1,75,11,0.9,2000000,4966,17.490000000000002,1,1,0
RLSMX,5,5614,9.45,38.49,81,17.0,90,10,0.92,1000000,104,-4.370000000000001,0,1,0
IYVYX,3,48303,12.48,47.31,39,33.44,68,18,1.19,0,1222,-7.82,0,1,0
PLGJX,3,173751,24.37,39.91,499,35.21,34,12,0.8,1000,12476,9.11,1,0,0
GMPPX,3,16021,6.49,43.96,114,16.66,87,4,0.85,0,1100,-2.58,0,1,0
PCEQX,2,36804,18.92,44.62,108,20.15,8,18,1.75,1000,2319,-9.29,0,0,0
ECTVX,3,97863,21.89,47.63,68,31.25,25,4,1.92,1000,656,-6.15,0,0,0
CBSTX,4,18646,14.64,33.46,66,22.99,63,3,1.15,2000,2115,6.68,1,0,1
PKSFX,4,6113,34.09,30.49,30,53.89,19,12,1.0,100000,1859,4.8599999999999985,1,1,1
NSRSX,3,4756,-4.83,37.83,99,18.32,128,5,0.8,0,440,16.84,1,1,0
CDOFX,3,2558,9.91,32.07,74,20.06,28,6,1.03,2500,285,-6.030000000000001,0,1,0
MEFNX,3,20338,10.76,45.21,209,17.04,37,11,1.41,0,9846,2.68,1,0,1
HGOCX,1,89863,16.38,44.18,73,40.21,118,13,1.85,2000,7515,12.22,1,0,0
UBVCX,4,2796,2.17,48.95,87,29.14,44,8,1.8,1000,5539,-9.44,0,0,0
KDHCX,2,46523,25.91,45.99,44,27.66,40,7,1.73,1000,1044,-9.27,0,0,0
LVOCX,2,6988,15.59,39.31,74,19.9,36,2,1.93,1500,1621,-5.3100000000000005,0,0,0
GETGX,4,12107,7.95,41.46,78,19.81,44,14,1.12,0,12743,-4.950000000000001,0,0,1
HWMCX,2,6389,-3.17,46.99,70,33.19,27,16,1.96,2500,370,-16.200000000000006,0,0,0
MDFGX,4,228991,27.36,43.72,54,44.66,42,4,1.01,1000,4413,8.579999999999998,1,0,0
NBGNX,5,6324,22.34,29.3,104,21.86,11,18,1.01,1000,12281,3.09,1,1,0
VMCVX,2,9384,8.44,43.22,220,9.91,63,7,1.05,0,859,-7.340000000000002,0,1,0
EXEYX,2,82467,20.58,42.51,72,27.01,49,9,1.05,2000,69,2.8299999999999983,1,1,0
BUIOX,3,1288,-3.69,35.88,66,25.28,22,7,1.35,250000,130,13.259999999999998,1,1,0
VITPX,2,99968,22.6,44.63,3356,22.34,5,5,0.02,100000000,32769,2.76,1,1,0
VAFNX,3,154246,21.51,40.93,95,44.36,52,11,0.7,1000000,15200,9.38,1,1,0
WSGRX,3,4520,-0.78,40.52,80,23.76,40,6,1.63,0,3037,6.120000000000001,1,0,0
ATHDX,5,22882,11.91,38.86,82,23.19,85,4,0.65,0,5979,9.740000000000002,1,1,0
LSMIX,2,7617,8.35,35.37,85,16.38,60,6,0.84,100000,80,5.829999999999997,1,1,0
JACCX,3,233213,30.52,42.87,41,48.44,42,6,1.68,2500,19121,8.23,1,0,0
RSPFX,3,3106,8.71,44.5,70,26.38,60,7,1.45,2500,338,-6.900000000000001,0,0,0
TGVOX,2,9199,7.39,43.53,63,31.22,42,5,0.87,2000,78,-9.99,0,1,0
CSSSX,4,3188,5.3,35.71,76,22.87,22,9,0.95,0,434,6.18,1,1,0
HFCGX,4,4554,17.08,49.02,54,31.74,98,9,1.36,2500,155,-7.420000000000001,0,1,0
WEHIX,4,8720,5.95,39.24,33,44.88,30,14,1.23,2500,201,-5.010000000000002,0,1,0
TRLWX,3,107843,17.05,47.1,86,25.24,26,2,0.0,0,5227,-7.030000000000001,0,1,0
TADCX,3,207236,27.8,41.25,69,43.64,28,5,1.87,1000,2067,8.059999999999999,1,0,0
BRWRX,3,220975,34.1,43.04,100,43.99,61,5,1.49,0,251,3.34,1,0,0
USSPX,3,181497,26.85,46.02,501,29.12,13,2,0.25,3000,9198,2.5699999999999985,1,1,0
EKOAX,3,112911,22.57,38.14,58,38.42,23,8,1.28,1000,1097,9.499999999999996,1,0,0
AEUDX,2,81529,23.7,43.44,105,31.07,85,17,0.56,0,11794,-5.530000000000001,0,1,0
DOPIX,2,3259,1.78,43.79,83,19.55,95,6,0.96,1000,490,-5.040000000000001,0,1,0
RGAAX,2,144040,16.32,41.62,392,35.89,28,10,1.4,250,263828,4.9700000000000015,1,0,0
WSMNX,2,8288,11.37,42.94,78,22.11,56,3,1.35,2500,3594,6.149999999999999,1,1,0
OPMIX,4,17004,13.86,41.03,82,21.04,27,8,0.67,0,2755,-2.99,0,1,0
FTGRX,2,181538,21.38,46.48,81,38.76,49,8,1.18,0,1300,-2.4400000000000013,0,0,0
FCBSX,3,35255,10.97,44.89,52,31.38,58,5,1.68,1000,721,-11.760000000000002,0,0,0
OIEJX,3,90410,19.37,46.33,87,22.55,22,6,0.46,15000000,37352,-4.5600000000000005,0,1,0
LZFIX,5,22585,6.82,57.99,28,51.46,95,3,0.95,10000,94,-7.240000000000001,0,1,0
FAVTX,4,50851,12.99,41.45,111,24.19,75,9,1.36,0,129,-6.770000000000001,0,0,0
DUSLX,4,171737,48.76,58.9,177,37.86,20,5,0.19,0,2693,3.26,1,1,0
BARUX,5,24121,18.24,42.69,66,38.09,9,18,1.05,5000000,5910,7.599999999999998,1,1,0
HAREX,5,24700,8.33,37.08,97,21.92,27,17,1.31,0,7987,5.810000000000002,1,0,0
MSAVX,3,8462,5.29,46.88,52,27.51,38,5,1.21,1000,1804,-9.7,0,0,0
TBDQX,4,235919,33.51,41.32,91,44.18,149,14,1.0,0,330,8.5,1,1,0
ASCRX,3,2529,4.54,39.1,289,9.78,140,2,1.37,2500,198,-5.620000000000001,0,0,0
EKJFX,2,98404,14.53,36.22,79,39.37,45,8,0.65,0,3269,9.670000000000002,1,1,0
FKMCX,2,8806,9.19,43.19,181,13.38,36,7,0.76,0,7011,-2.620000000000001,0,1,0
FIVUX,3,12438,11.96,45.51,96,19.03,120,1,0.95,0,694,-8.770000000000001,0,1,0
DCUUX,4,47045,28.66,48.75,41,26.01,138,5,0.92,1000,693,-10.66,0,0,1
RMFAX,4,101581,24.68,48.98,175,23.07,24,10,1.4,250,70768,-6.350000000000001,0,0,0
SENAX,4,29536,9.32,33.07,65,25.97,62,10,1.16,1000,1166,13.39,1,0,0
CRMMX,1,7437,5.75,41.4,44,36.23,37,8,1.16,2500,393,-3.8300000000000014,0,1,0
MGPSX,3,6271,15.07,38.14,251,12.61,457,5,2.77,15000,39,-4.870000000000001,0,0,0
MVTRX,2,12508,6.58,44.08,67,23.43,82,4,0.75,0,1589,-5.280000000000001,0,1,0
PNSAX,4,4762,2.34,36.33,91,19.06,56,4,1.24,0,777,13.53,1,0,0
BSMNX,4,6867,14.22,36.85,72,19.08,107,9,1.25,2500,1,-11.48,0,1,0
BSPGX,3,176775,27.24,45.66,513,27.27,3,4,0.01,0,27040,2.1399999999999992,1,1,0
VSIAX,4,4597,4.25,44.27,939,4.9,19,5,0.07,3000,38114,-5.400000000000001,0,1,0
ALVOX,3,269664,26.83,38.84,79,52.08,74,11,0.94,0,637,9.81,1,1,0
PSLGX,4,129886,23.76,48.28,68,35.23,44,3,0.66,0,5880,7.079999999999997,1,1,0
EAMCX,5,21470,13.35,39.89,107,23.0,34,11,1.06,250,14337,8.580000000000002,1,0,0
TSLAX,3,2061,1.94,44.26,107,14.57,80,2,1.3,1000,1063,-9.75,0,0,0
WSMVX,2,2016,3.19,39.21,691,10.85,168,6,1.1,250000,41,-9.82,0,1,0
FPCGX,3,67888,23.84,45.82,28,49.99,8,19,1.24,2500,81,-3.5500000000000007,0,1,0
MMQIX,2,2456,2.49,39.07,128,16.88,77,7,1.05,0,91,-5.8900000000000015,0,1,0
CGRYX,1,63265,11.07,48.9,36,46.22,11,2,0.68,1000,577,-8.040000000000001,0,1,0
CBSAX,4,18646,14.64,33.46,66,22.99,63,3,1.15,2000,2000,6.68,1,0,0
BIAUX,3,2352,10.74,36.81,61,26.42,56,12,1.12,100,1000,-10.3,0,1,0
FGSIX,4,16477,17.33,45.95,165,20.68,227,6,0.84,1000000,602,5.210000000000001,1,1,0
MFEIX,4,226023,28.24,40.32,76,43.55,11,11,0.65,0,40877,8.629999999999999,1,1,0
TWEAX,2,81529,23.7,43.44,105,31.07,85,17,1.16,2500,11794,-6.750000000000001,0,0,0
FFICX,2,165629,22.23,45.93,207,34.18,31,14,0.29,1000000,111362,-2.2300000000000004,0,1,0
VEVRX,4,12107,7.95,41.46,78,19.81,44,14,0.57,0,12743,-3.820000000000001,0,1,1
AGFRX,2,77805,27.81,30.26,61,37.25,38,9,1.54,0,1506,7.550000000000002,1,0,0
CAAPX,4,12220,12.35,44.9,42,35.59,23,15,1.15,1000,1248,-7.08,0,1,0
DPLGX,5,141606,15.26,46.16,29,51.28,53,12,0.64,1000000,91,6.32,1,1,0
RGABX,2,144040,16.32,41.62,392,35.89,28,10,1.4,250,263828,4.9700000000000015,1,0,0
DRMAX,4,17283,12.26,39.89,71,22.58,53,0,1.04,1000000,456,12.0,1,1,0
JCNIX,1,19870,10.25,48.6,45,44.05,68,4,1.21,2500,3785,6.219999999999999,1,1,0
STMFX,3,226787,24.5,39.31,66,50.65,34,11,1.32,0,1150,5.079999999999998,1,1,0
RTDCX,3,103047,23.27,41.55,573,23.68,51,3,1.55,0,559,-3.28,0,0,0
WHGCX,1,2124,4.92,36.49,62,20.81,67,9,1.84,1000,727,-8.33,0,0,0
SPFCX,2,221489,16.85,40.98,31,50.54,72,12,1.82,1000,1292,13.79,1,0,0
EPGAX,2,142943,22.34,36.29,180,45.29,52,9,0.99,0,4447,10.84,1,0,0
UIVAX,3,45855,17.26,44.47,191,17.28,74,2,0.88,1000000,1035,-10.07,0,1,0
FFGRX,1,3136,-2.04,35.1,127,21.36,48,21,1.06,2000,1679,5.429999999999998,1,1,0
SESGX,5,160684,26.77,42.41,56,32.33,25,5,1.0,5000,8,-2.7700000000000014,0,1,0
SPVZX,3,11316,2.55,41.96,190,10.63,55,7,0.88,0,235,-14.3,0,1,0
HISGX,4,5089,4.57,36.73,69,24.51,95,13,1.25,2500,1205,7.4899999999999975,1,1,0
HSLIX,3,3893,-1.72,36.8,174,11.02,58,6,0.85,2000,984,4.5,1,1,0
ASCZX,4,8092,-1.55,33.58,92,27.1,13,6,0.97,500000,593,18.0,1,1,0
VAMGX,3,7498,8.5,40.75,104,19.38,47,4,1.01,0,286,2.8099999999999987,1,1,0
BRSPX,3,3031,4.16,38.21,176,14.8,75,5,1.74,0,335,-5.460000000000001,0,0,0
ACFDX,1,97420,8.57,42.44,40,50.68,27,5,1.1,2500,2197,19.93,1,0,0
VSSGX,2,9043,4.55,35.42,102,18.74,67,2,0.95,0,187,13.56,1,1,0
UBVUX,4,2796,2.17,48.95,87,29.14,44,8,1.05,0,5539,-7.9300000000000015,0,1,0
JVLAX,3,59415,13.45,43.73,92,26.16,88,11,1.06,1000,12548,-9.04,0,0,0
FTVSX,4,11300,13.31,53.17,67,25.96,30,3,0.9,100000,68,-5.030000000000001,0,1,0
JIEMX,1,54510,14.57,49.82,120,23.97,31,5,0.76,0,2055,-7.52,0,1,0
TRLCX,3,107843,17.05,47.1,86,25.24,26,2,0.65,0,5100,-8.4,0,1,0
MSGRX,4,1555,-3.06,39.06,134,23.61,40,7,1.1,1000000,1676,4.8100000000000005,1,1,0
AFAZX,4,32504,23.49,52.32,87,16.51,30,15,0.96,10000,47,-5.4700000000000015,0,1,0
EITVX,3,97863,21.89,47.63,68,31.25,25,4,0.92,250000,656,-4.080000000000001,0,1,0
DMVYX,3,2763,3.23,38.16,387,10.33,58,5,0.95,0,546,-2.470000000000001,0,1,0
JCVIX,2,25171,-1.16,46.78,39,39.39,35,12,0.93,250000,1871,-12.41,0,1,0
FMILX,1,33806,10.99,47.96,162,22.67,34,15,0.61,0,2397,-5.070000000000001,0,1,0
CHRRX,4,165392,29.92,46.9,76,41.46,45,2,1.32,0,3387,-3.2100000000000013,0,0,0
GQLIX,4,216933,32.8,42.04,51,42.51,17,6,0.57,0,7426,3.049999999999999,1,1,0
SPWAX,4,4256,5.07,33.17,95,19.91,20,10,1.37,2500,435,8.11,1,0,0
WSGAX,3,4520,-0.78,40.52,80,23.76,40,6,1.31,750,3037,6.800000000000002,1,0,0
OPTIX,2,112035,21.34,40.83,103,44.19,31,0,0.63,1000000,5228,7.309999999999999,1,1,0
FMEFX,3,18293,8.32,41.48,72,22.56,89,1,0.88,1000000,467,7.57,1,1,0
BAFFX,4,169287,27.13,42.02,46,41.38,12,3,0.56,1000000,603,3.1499999999999986,1,1,0
AOFYX,4,6313,-6.25,29.73,52,32.41,37,6,0.84,500000,8203,18.49,1,1,0
ECCVX,3,13303,6.25,43.82,152,11.35,19,12,1.85,250,12057,-7.4300000000000015,0,0,1
GBSPX,3,3332,17.41,30.45,56,30.2,35,5,1.36,2500,44,-4.340000000000002,0,1,0
PZISX,3,1878,-5.61,40.8,48,32.08,38,5,1.1,1000000,61,-8.84,0,1,0
LVOPX,2,6988,15.59,39.31,74,19.9,36,2,1.38,0,1621,-4.170000000000001,0,0,1
RGWCX,3,176358,27.51,39.7,54,46.32,95,9,1.93,2500,315,2.49,1,0,0
GSMYX,2,9332,3.32,35.32,107,18.49,76,2,0.94,1000000,3061,13.79,1,1,0
RLISX,3,90894,20.07,45.23,262,21.16,33,3,0.84,0,237,-2.8100000000000005,0,1,0
FMEIX,3,15316,14.46,40.61,366,11.6,73,8,0.59,0,1449,-2.67,0,1,0
EICIX,3,44744,14.32,45.3,41,34.51,36,10,0.9,100000,149,-6.3100000000000005,0,1,0
JMVCX,2,10030,17.4,42.24,64,27.94,37,7,1.78,2500,2713,-9.84,0,0,0
AUIYX,4,125398,29.25,48.83,68,40.45,43,3,0.74,0,491,-5.8500000000000005,0,1,0
RCKSX,4,19806,23.74,46.95,29,43.89,52,7,1.25,2000,12,-4.420000000000001,0,1,0
PMVAX,2,21639,9.22,43.61,76,23.11,72,3,1.07,0,566,10.38,1,0,0
SBLYX,4,202379,25.08,43.58,48,44.3,25,10,0.74,1000000,18598,5.880000000000003,1,1,0
FDECX,1,98673,19.19,50.9,174,37.79,26,7,1.82,0,3635,-5.710000000000001,0,0,0
JVACX,3,42966,12.47,46.38,121,20.16,29,11,1.64,1000,9400,-9.46,0,0,0
MFEGX,4,226023,28.24,40.32,76,43.55,11,11,0.89,1000,40877,8.099999999999998,1,0,0
ADRRX,3,217864,32.49,44.59,145,47.66,142,4,1.51,2500,491,3.26,1,0,0
KCSVX,3,2465,5.5,42.04,128,14.85,107,5,1.3,1000,108,-5.8500000000000005,0,1,0
PCBIX,4,22908,14.58,53.61,84,29.55,14,14,0.69,0,21087,2.6099999999999994,1,1,1
TSFIX,4,3653,13.95,42.22,33,44.26,22,9,0.94,500000,93,-4.08,0,1,0
LBDRX,3,73939,24.28,47.34,218,31.14,54,10,1.35,0,533,-9.43,0,0,0
FZAGX,2,45645,17.85,48.13,120,22.54,65,4,0.52,0,1437,-6.82,0,1,0
LVOYX,2,6988,15.59,39.31,74,19.9,36,2,0.93,1000000,1621,-3.2300000000000004,0,1,0
FZACX,2,142746,26.13,43.21,203,31.22,78,4,0.49,0,2588,2.4699999999999993,1,1,0
SAMVX,4,21513,14.73,38.44,50,34.98,121,19,1.34,2500,3244,-5.7700000000000005,0,0,0
NVLIX,5,254441,28.55,44.35,50,47.13,59,7,0.73,100000,771,8.91,1,1,0
CDIRX,4,120837,28.44,48.58,82,26.47,14,12,1.19,0,29214,-3.65,0,0,0
FALAX,1,97490,19.08,50.88,175,37.56,22,15,0.75,0,901,-3.6700000000000013,0,0,0
SUSIX,4,178750,27.35,44.96,106,31.82,38,3,0.37,5000000,535,3.67,1,1,0
CMLIX,4,205981,35.35,43.72,42,45.62,24,12,0.7,500000,430,7.09,1,1,0
SINOX,4,95714,22.35,51.22,55,34.04,23,15,1.57,1000,1729,-7.620000000000001,0,0,0
KLCSX,2,91489,17.68,38.61,68,32.51,24,9,0.77,0,4547,6.969999999999999,1,1,0
DLCEX,4,112316,29.24,46.82,72,24.89,57,11,0.98,1000,126,-2.1700000000000017,0,1,0
IYVCX,3,48303,12.48,47.31,39,33.44,68,18,1.99,750,1222,-9.33,0,0,0
BFTUX,3,113326,11.21,33.46,39,41.05,12,9,0.75,5000000,713,12.56,1,1,0
GFVIX,2,105210,15.46,46.84,37,36.77,102,2,0.85,0,20,-4.25,0,1,0
LBSAX,4,120837,28.44,48.58,82,26.47,14,12,0.94,2000,29214,-3.1300000000000012,0,0,0
IEDAX,3,53678,7.28,47.02,75,25.55,154,6,1.1,1000,702,-6.73,0,0,0
ATGYX,4,17256,12.37,53.6,104,18.76,88,6,1.2,0,230,-3.660000000000001,0,1,0
PMCKX,4,15331,12.51,46.0,89,22.88,65,3,0.72,5000000,693,-10.13,0,1,0
IHSVX,3,4595,-3.51,34.38,120,16.59,104,8,0.9,0,927,15.330000000000002,1,1,0
FTRNX,2,153388,30.42,43.11,127,42.72,73,2,0.63,0,3234,10.73,1,1,0
SSSFX,1,2989,6.76,52.68,27,51.45,25,17,1.25,2000,259,-5.380000000000001,0,1,0
GFAFX,2,144040,16.32,41.62,392,35.89,28,10,0.67,250,263828,6.549999999999998,1,1,0
CSVRX,2,1315,3.09,31.89,193,10.49,60,16,1.57,0,889,-8.780000000000001,0,0,0
TGDFX,3,59604,15.7,49.99,46,36.91,20,10,0.71,2000,250,-8.07,0,1,0
TILPX,3,193993,24.23,37.88,87,44.31,143,7,0.55,0,6740,10.009999999999998,1,1,0
AMREX,1,4274,7.4,25.51,25,59.15,16,10,9.9,0,1,-23.520000000000003,0,0,0
PGORX,4,320423,34.02,45.06,61,50.33,45,3,1.3,0,8389,9.75,1,0,0
PHASX,4,21035,16.32,36.97,391,17.86,51,12,1.75,0,1086,5.099999999999998,1,0,1
AGSCX,4,8092,-1.55,33.58,92,27.1,13,6,2.09,1000,593,15.38,1,0,0
ARSIX,4,2162,3.96,42.2,57,33.35,42,13,1.07,100000,702,-4.500000000000001,0,1,0
TEGAX,4,23121,12.72,45.43,61,25.55,82,18,1.25,2500,1482,5.57,1,0,0
JVTAX,4,4014,-0.84,34.17,136,19.87,25,6,1.02,2500,4217,4.690000000000001,1,0,1
OTCJX,5,21470,13.35,39.89,107,23.0,34,11,0.79,0,14337,9.16,1,1,0
FAFGX,2,144040,16.32,41.62,392,35.89,28,10,0.43,250,263828,7.07,1,1,0
NMVZX,2,10060,7.91,27.26,58,46.29,124,5,0.78,2500,3331,-2.290000000000001,0,1,0
GGOUX,4,23307,11.29,44.24,91,21.52,65,12,0.9,5000000,1429,9.29,1,1,0
HIGRX,5,153772,29.2,48.21,42,36.09,41,6,1.27,0,862,-4.75,0,0,0
HAITX,2,161048,26.31,44.68,72,31.6,22,10,0.38,0,10471,3.3699999999999988,1,1,0
POLRX,5,227729,31.42,37.69,25,58.11,23,6,1.23,3000,9755,9.849999999999998,1,1,0
ALVSX,3,94888,17.59,40.99,45,40.88,72,2,0.64,5000000,871,-6.19,0,1,0
RDCCX,3,61757,18.4,47.62,96,23.52,80,4,1.87,2000,239,-11.19,0,0,0
CVFCX,3,79485,19.69,48.71,69,32.79,111,10,1.16,1000,362,-7.86,0,0,0
