Ticker,Morningstar Sustainability Rating,Average Market Cap ($ mil),ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,Turnover Ratio (%),Average Manager Tenure (years),Expense Ratio (%),Minimum Initial Purchase ($),Total Assets ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform,No-load Funds,Closed to New Investors
EVSTX,3,174967,28.72,44.26,170,28.68,50,3,1.6,1000,973,-3.16,0,0,0
EQPGX,2,142943,22.34,36.29,180,45.29,52,9,0.73,0,4447,11.43,1,1,0
BGGSX,1,68576,4.39,30.12,45,50.9,18,3,0.75,0,133,35.5,1,1,0
SPWCX,4,4256,5.07,33.17,95,19.91,20,10,2.14,1000,446,6.419999999999997,1,0,0
IRLUX,3,276474,29.27,45.64,198,32.42,5,8,0.76,0,1180,2.18,1,0,0
TSFYX,4,3653,13.95,42.22,33,44.26,22,9,1.02,2500,93,-4.260000000000002,0,1,0
CMLCX,4,101581,24.68,48.98,175,23.07,24,10,1.38,250,70768,-6.3100000000000005,0,0,0
TVOIX,1,2974,5.01,41.19,92,21.6,41,5,0.98,500000,68,-7.950000000000001,0,1,0
NBREX,2,9969,3.18,50.65,52,31.29,16,9,1.26,0,52,-13.46,0,1,1
OCSGX,3,5778,-4.68,40.33,204,18.79,93,3,2.29,1000,757,9.510000000000002,1,0,0
SLVIX,1,60589,13.94,50.95,39,35.82,18,14,0.5,0,1203,-5.670000000000001,0,1,0
MMCGX,3,22663,-15.1,37.12,55,44.11,65,16,0.63,10000000,5424,45.92999999999999,1,1,0
CFNCX,2,104576,18.85,43.92,327,23.69,40,9,1.41,250,117632,-3.49,0,0,0
WFDDX,2,12355,3.33,33.41,75,21.8,53,10,1.13,1000000,3469,14.1,1,1,0
EDFCX,5,27220,32.97,52.99,42,30.92,70,4,1.78,500,45,-9.760000000000002,0,0,0
BMCKX,4,247482,35.58,43.46,180,42.44,70,4,0.57,5000000,1021,7.349999999999998,1,1,0
BAFGX,3,114380,25.9,41.63,32,40.05,22,22,0.69,1000000,3172,9.709999999999997,1,1,0
GFFFX,2,144040,16.32,41.62,392,35.89,28,10,0.41,250,263828,7.119999999999997,1,1,0
HVOAX,3,85125,16.77,46.96,71,28.13,26,2,0.91,2000,196,-6.8100000000000005,0,0,0
RPMNX,2,9470,12.99,44.56,42,30.22,53,4,0.9,1000000,190,-8.780000000000001,0,1,0
CGMRX,2,8400,11.36,37.66,26,57.91,264,27,1.04,2500,460,-18.96,0,1,0
FMCSX,2,8806,9.19,43.19,181,13.38,36,7,0.86,0,7011,-2.820000000000001,0,1,0
PPSFX,3,69056,15.17,43.65,866,19.96,55,12,1.28,0,2384,-6.790000000000001,0,1,0
DHQCX,4,42638,27.61,54.41,33,46.28,54,5,2.3,1000,32,-12.72,0,0,0
ALVDX,3,94888,17.59,40.99,45,40.88,72,2,0.49,0,871,-5.8900000000000015,0,1,0
PAGDX,1,52937,13.58,40.46,37,57.43,3,18,1.48,1000,31,2.1899999999999995,1,0,0
NDVAX,3,3101,1.05,44.04,111,15.25,44,5,1.22,1000,3487,-4.170000000000001,0,0,1
DNLVX,3,70179,17.33,45.02,74,23.57,43,3,1.24,100000,119,-7.260000000000002,0,1,0
LVSMX,3,3419,15.38,27.05,94,27.47,151,4,1.48,1000,59,-12.11,0,0,0
DGOCX,3,51850,14.43,38.51,42,46.73,15,15,1.74,1000,518,-7.440000000000001,0,0,0
WLVJX,2,33482,24.92,37.89,107,18.24,165,4,0.3,0,60,-2.7,0,1,0
FCAKX,2,96995,20.74,38.81,169,33.17,61,2,0.74,0,6158,5.780000000000001,1,1,0
VSNGX,4,18759,11.0,42.5,208,10.72,49,8,0.89,1000000,2088,2.039999999999999,1,1,0
SASLX,3,3808,9.04,38.08,1599,4.42,14,5,0.92,100000,430,-4.090000000000002,0,1,0
IHSRX,3,4595,-3.51,34.38,120,16.59,104,8,1.55,0,962,13.84,1,0,0
IBSAX,4,11234,12.25,50.3,50,56.57,23,11,1.49,0,585,7.1400000000000015,1,0,0
SESVX,3,2719,6.1,45.86,410,14.56,65,8,1.14,100000,419,-9.56,0,1,0
FIOOX,3,61754,13.34,44.83,851,16.32,31,5,0.0,0,5309,-5.510000000000002,0,1,0
EPLRX,2,80376,24.77,51.58,106,18.13,29,10,0.93,0,974,-6.99,0,1,0
IMORX,4,21313,8.95,45.01,68,25.87,92,9,1.52,0,1074,3.82,1,0,0
RRGSX,3,258775,23.74,39.14,87,45.62,27,7,1.18,2500,70292,6.370000000000001,1,0,0
DFSCX,2,1287,4.77,34.26,1651,5.1,11,5,0.52,0,6679,-4.92,0,1,0
RLCAX,3,61757,18.4,47.62,96,23.52,80,4,1.12,2000,239,-9.65,0,0,0
CLQZX,3,172135,38.66,47.11,69,45.88,78,4,0.91,2000,301,4.35,1,1,0
LGLCX,1,96415,15.94,37.03,79,33.77,93,8,1.65,1500,8939,17.95,1,0,0
MCIMX,2,11928,5.66,46.7,136,11.61,82,8,1.75,2500,208,-8.860000000000003,0,0,0
MDVYX,2,74343,21.71,48.45,247,23.98,52,9,0.78,0,381,-7.920000000000001,0,1,0
FCVCX,4,2613,7.21,41.03,98,19.68,109,4,1.97,0,2369,-7.65,0,0,0
HQIAX,3,99596,19.35,46.06,70,27.81,31,5,1.0,2000,4264,-6.32,0,0,0
CSVZX,1,60589,13.94,50.95,39,35.82,18,14,0.55,2000,1203,-5.760000000000002,0,1,0
LGPIX,3,249572,33.4,44.55,289,43.95,358,5,1.69,15000,43,4.3100000000000005,1,1,0
FKKSX,3,3756,-8.59,33.34,272,11.71,20,9,1.31,0,10500,15.14,1,0,0
NEOYX,2,64279,13.86,49.15,53,31.65,15,6,0.91,100000,248,-5.4700000000000015,0,1,0
ARIDX,3,42899,24.43,56.72,52,35.12,35,11,0.86,100000,510,-8.370000000000001,0,1,0
TVRRX,2,45325,18.41,42.37,37,47.28,20,0,0.99,0,832,-3.370000000000001,0,1,0
MYISX,2,5048,2.84,45.86,152,10.93,72,8,0.88,1000000,157,-8.350000000000001,0,1,0
ILGRX,4,239768,33.74,41.39,43,50.72,33,4,0.66,1000000,5668,8.16,1,1,0
KAUIX,1,14514,1.8,27.59,183,20.73,38,12,1.44,1000000,8678,6.93,1,1,0
IOLZX,2,21585,15.73,40.59,38,50.1,65,4,1.22,1000,72,-2.79,0,1,0
ALFQX,3,3517,4.6,34.51,6,100.0,17,4,7.39,0,825,-5.19,0,0,0
PJVQX,3,89477,17.93,49.78,70,23.71,31,5,0.7,0,426,-7.200000000000001,0,1,0
EQNTX,4,120961,25.81,45.21,90,33.97,42,6,0.89,0,243,-4.2,0,1,0
PMVRX,2,21639,9.22,43.61,76,23.11,72,3,1.32,0,566,9.84,1,0,0
FCNTX,3,252643,26.26,35.97,376,46.12,26,30,0.85,0,136295,4.99,1,1,0
PRJIX,3,14707,-0.48,36.88,168,23.7,46,2,0.65,1000000,39181,17.44,1,1,1
FOVAX,3,1731,7.69,32.45,34,36.91,18,9,1.6,2500,48,-7.300000000000002,0,0,0
WEMCX,2,3197,-3.06,34.62,95,25.22,55,7,2.03,1000,955,13.02,1,0,0
VSCOX,3,3223,2.96,33.48,251,9.07,48,10,1.24,1000,819,4.09,1,0,0
VMGAX,4,428886,35.23,43.82,101,55.18,6,5,0.06,5000000,10241,10.98,1,1,0
JRACX,3,196427,28.07,43.02,81,49.6,38,1,1.55,2500,18949,5.389999999999998,1,0,0
CLQRX,3,132742,29.6,46.46,100,33.47,65,4,1.23,0,4416,-2.3400000000000016,0,0,0
GLSIX,5,2958,3.99,39.96,47,32.09,53,6,0.88,100000,46,-6.74,0,1,0
IYAIX,3,48303,12.48,47.31,39,33.44,68,18,0.92,0,1222,-7.170000000000001,0,1,0
VSCCX,3,3223,2.96,33.48,251,9.07,48,10,1.74,1000,819,3.02,1,0,0
BSFIX,5,7791,7.09,41.48,76,27.7,17,23,1.05,1000000,5082,7.7399999999999975,1,1,0
RMOYX,4,19951,5.27,41.36,86,24.86,86,9,0.95,1000000,612,3.17,1,1,0
LAUCX,3,3489,2.4,31.31,88,18.51,91,4,2.16,2000,365,3.75,1,0,0
FSKGX,5,25147,24.93,39.97,118,21.78,66,4,0.45,0,186,4.8599999999999985,1,1,0
ILCEX,4,239768,33.74,41.39,43,50.72,33,4,1.14,250,5668,7.1099999999999985,1,1,0
CIPMX,4,14021,10.37,40.85,62,25.73,36,7,1.11,10000,5864,6.399999999999999,1,1,1
FIUTX,3,72851,18.22,47.78,40,31.03,114,1,1.16,1000,320,-9.35,0,0,0
SCSRX,3,7540,5.55,43.65,84,18.39,61,2,0.83,0,1039,-2.1900000000000013,0,1,0
