Ticker,Dividend Yield (%),Price/Earnings,Price/Cash Flow,Average Market Cap ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform
BARIX,1.88,46.58,32.63,24121,7.6099999999999985,1
TPVIX,0.57,18.2,8.97,1768,-7.2,0
PSMPX,0.92,17.82,14.37,10000,-3.860000000000001,0
PEIIX,0.89,19.32,13.96,79172,-2.950000000000001,0
SEEGX,2.38,32.2,24.93,152879,15.9,1
JCNRX,1.72,22.7,16.71,19870,5.57,1
LCEIX,0.52,17.61,9.81,47090,-6.75,0
CSXCX,1.39,21.91,16.59,117286,2.6999999999999997,1
SDGCX,1.8,31.36,26.27,167400,7.41,1
SCVNX,0.5,13.39,7.03,1518,-7.4300000000000015,0
HFDFX,0.8,20.73,15.47,13829,-4.33,0
DLMCX,0.43,15.97,11.33,12457,-10.96,0
MAWNX,0.88,19.56,16.59,65672,-5.1000000000000005,0
QLSGX,1.39,21.01,9.47,2083,2.8000000000000007,1
EAGCX,1.85,30.03,23.59,140947,7.16,1
BPSCX,0.55,10.74,6.24,2361,-8.46,0
MOTAX,1.76,30.77,23.8,18099,6.099999999999998,1
TLCIX,0.81,19.61,14.27,123031,-3.7,0
NEFOX,0.88,15.27,9.79,64279,-5.99,0
DHLYX,0.93,17.76,14.83,84910,-3.530000000000001,0
STSVX,0.76,16.98,8.59,2505,-4.600000000000001,0
GVCAX,0.57,15.19,8.86,17004,-7.4300000000000015,0
BMSFX,0.85,18.36,11.79,15050,-4.0200000000000005,0
JGAUX,0.91,12.44,5.98,1673,-3.770000000000002,0
DMCVX,0.86,17.55,13.61,16108,-5.6400000000000015,0
BRSGX,0.79,16.77,6.04,1141,-3.76,0
TLCYX,0.81,19.61,14.27,123031,-3.890000000000001,0
SPSAX,0.15,9.97,3.92,2209,-11.82,0
HIGYX,0.77,20.6,16.07,153772,-4.3900000000000015,0
SSMLX,1.46,21.09,13.49,9282,4.889999999999999,1
RLUEX,0.97,24.61,18.27,66029,-2.450000000000001,0
IEDRX,0.68,17.73,12.47,53678,-7.160000000000001,0
ASMZX,2.42,46.01,27.79,4568,16.99,1
HFDYX,0.8,20.73,15.47,13829,-4.500000000000001,0
SPSCX,0.17,9.97,3.92,2209,-11.260000000000002,0
JDMAX,1.49,23.75,17.59,15538,2.9800000000000004,1
MMIJX,0.63,15.88,9.87,11928,-6.9300000000000015,0
CSMIX,0.5,13.68,6.67,1315,-8.27,0
MASCX,2.13,20.31,12.95,2859,13.57,1
LGSCX,0.64,14.15,7.17,1855,-5.8900000000000015,0
JPDEX,1.39,24.04,19.07,250705,2.9599999999999986,1
ADNYX,3.69,95.4,34.58,28692,36.41,1
ACWIX,1.69,31.29,16.45,4323,6.849999999999998,1
TILHX,1.93,33.88,25.41,193993,10.18,1
ABVYX,0.28,16.39,11.38,49754,-11.010000000000002,0
LCGJX,2.02,35.55,27.13,208186,10.639999999999997,1
BRULX,0.53,17.07,11.33,68384,-7.85,0
JVLIX,0.52,15.12,9.83,59415,-8.540000000000001,0
DSGEX,2.97,40.15,28.88,5201,23.63,1
AFPUX,-0.3,14.37,7.5,21003,-17.450000000000006,0
BMSTX,0.86,18.36,11.79,15050,-4.0200000000000005,0
WFEIX,2.31,52.91,29.36,29536,14.11,1
DENVX,0.38,15.63,9.41,57293,-9.79,0
WFSPX,1.25,22.62,16.5,176775,2.0600000000000005,1
RGEBX,1.63,28.98,21.3,144040,5.6099999999999985,1
RMEBX,0.66,18.18,12.53,101581,-5.710000000000001,0
BDSKX,1.31,18.46,10.28,2592,3.27,1
JFRDX,1.99,40.86,27.41,233213,10.16,1
SGZFX,1.79,29.3,23.16,229800,7.7600000000000025,1
SHRAX,1.06,18.58,12.4,35512,-3.03,0
SUWCX,1.06,20.17,15.16,127541,-2.120000000000001,0
CVSDX,0.77,17.07,12.39,82058,-4.91,0
ASPYX,1.96,32.75,24.02,189172,10.009999999999998,1
VTSAX,1.29,22.25,15.88,100020,2.7100000000000013,1
KDHIX,0.53,13.27,10.43,46523,-7.250000000000001,0
LMOPX,1.98,11.62,8.05,18136,7.120000000000001,1
LVORX,0.78,19.47,15.3,6988,-4.260000000000002,0
JHJRX,1.37,23.67,17.81,130873,3.1599999999999984,1
BRUKX,0.51,17.07,11.33,68384,-8.39,0
BWLRX,0.36,14.08,7.53,38353,-10.18,0
TRSAX,1.74,32.85,23.84,258775,6.929999999999996,1
ALGZX,1.81,27.79,22.11,219709,8.18,1
SMVSX,0.82,12.62,5.64,3131,-8.370000000000001,0
DCCRX,0.91,17.12,9.98,2805,-3.140000000000001,0
BRGKX,1.3,22.8,16.51,132580,2.68,1
TWCUX,2.18,38.1,25.99,304076,12.7,1
TADFX,0.18,17.97,12.71,57166,-11.74,0
PEMGX,1.45,23.06,20.49,22908,2.039999999999999,1
VRMCX,1.43,32.77,24.89,11926,3.1300000000000012,1
MDVSX,0.56,14.91,10.56,74343,-7.73,0
STSGX,1.8,33.0,22.01,4256,8.059999999999999,1
TIHGX,1.79,31.43,23.65,245079,6.709999999999997,1
LMBCX,0.58,14.15,7.17,1855,-7.31,0
LAVYX,0.59,16.15,12.81,64834,-7.16,0
PSYGX,2.16,32.47,22.75,4762,14.09,1
LGILX,1.91,42.13,26.18,218532,8.29,1
GSPSX,1.41,26.01,20.32,141916,2.25,1
MFEJX,1.87,36.42,27.71,226023,8.629999999999999,1
KCVVX,0.6,15.29,9.34,38243,-7.31,0
EIPDX,0.56,15.98,10.27,20425,-6.870000000000001,0
HRLVX,1.04,19.86,16.28,55931,-2.3100000000000005,0
DRSVX,0.29,12.81,6.45,2952,-10.52,0
FACSX,0.48,14.57,9.51,11401,-9.91,0
GWILX,0.8,15.16,9.97,45648,-4.3500000000000005,0
CBMSX,0.8,13.96,9.33,7898,-5.770000000000001,0
ANVIX,0.57,19.79,15.73,64861,-7.940000000000001,0
PNBAX,0.54,19.79,15.73,64861,-8.65,0
PMFPX,0.88,19.67,11.59,6301,-2.59,0
AICFX,0.92,20.09,14.57,165629,-2.990000000000001,0
ATDIX,0.32,12.79,11.19,8976,-11.45,0
ESSIX,0.82,20.54,10.95,142623,-4.830000000000001,0
AUIZX,0.69,18.02,13.36,125398,-5.7200000000000015,0
TQMIX,1.73,28.71,22.42,20179,6.59,1
PNOBX,1.61,25.09,19.94,129886,4.5299999999999985,1
AUICX,0.6,18.02,13.36,125398,-7.8900000000000015,0
PPQNX,1.72,33.53,26.49,21035,5.3599999999999985,1
IGRFX,2.26,36.12,25.83,21262,14.55,1
TRZZX,1.57,21.06,14.2,4578,7.719999999999999,1
GSRIX,0.88,14.22,8.98,31083,-3.4200000000000013,0
SWPPX,1.25,22.62,16.51,176727,2.039999999999999,1
HSRRX,1.45,31.88,17.68,5428,3.139999999999999,1
VVOCX,0.61,13.52,6.49,10997,-11.62,0
TNVAX,0.65,15.07,6.87,2471,-6.2200000000000015,0
MSMFX,4.03,104.27,35.03,22663,43.00999999999999,1
BACVX,0.34,13.09,5.92,1535,-9.98,0
MGRPX,3.23,146.93,38.49,55810,28.54,1
HFMTX,1.42,21.48,14.48,7715,3.01,1
TDVFX,0.37,12.17,3.34,1720,-14.15,0
BPTUX,4.19,73.52,36.31,109415,40.56999999999999,1
TVRFX,0.92,15.4,11.97,45325,-4.120000000000001,0
VEIPX,0.67,16.4,10.84,87234,-5.170000000000001,0
CVGRX,1.56,30.06,23.2,178036,4.48,1
JPELX,1.39,24.04,19.07,250705,3.2899999999999987,1
JVSIX,0.54,15.82,8.18,3582,-7.52,0
FFIDX,1.44,27.56,19.07,238979,3.9099999999999984,1
MFUNX,0.46,15.48,10.35,47535,-9.88,0
WSCGX,1.55,20.81,13.44,3978,3.93,1
MXMGX,1.48,28.29,18.99,16229,3.3599999999999994,1
HWSIX,0.5,12.09,5.0,2456,-9.87,0
CMVIX,1.73,32.21,24.55,247482,7.2399999999999975,1
NVDAX,1.03,16.91,12.86,61160,-2.450000000000001,0
FVADX,0.68,15.76,7.77,2622,-5.110000000000001,0
HVOCX,0.59,16.89,13.05,85125,-8.43,0
EPLDX,0.58,17.24,12.12,80376,-6.5600000000000005,0
CRMEX,0.76,19.58,10.52,10218,-6.380000000000001,0
OBSIX,1.48,20.22,15.81,2604,5.32,1
TPWCX,1.31,21.02,15.62,86901,2.7399999999999984,1
GSMGX,2.05,35.85,27.15,9332,11.36,1
GUERX,1.4,32.73,22.83,8887,2.5699999999999985,1
SVAIX,0.14,13.41,8.11,85761,-10.57,0
WLVLX,0.76,24.51,17.14,33482,-3.5700000000000003,0
TCLCX,0.53,17.7,13.43,107843,-8.55,0
DSGIX,1.6,29.25,17.0,4103,6.819999999999998,1
VWNDX,0.77,14.92,8.25,34867,-4.920000000000001,0
SCAYX,0.11,14.67,8.83,35753,-11.6,0
BRUGX,0.47,17.07,11.33,68384,-9.39,0
RMFHX,0.72,18.18,12.53,101581,-4.290000000000001,0
TRMVX,0.4,13.9,8.75,54824,-9.52,0
TLORX,0.43,15.45,9.94,67378,-8.96,0
GSRRX,0.84,14.22,8.98,31083,-4.4700000000000015,0
JCAPX,1.99,40.86,27.41,233213,10.29,1
TSPIX,1.53,41.48,23.33,3382,5.1400000000000015,1
CSRYX,0.7,13.52,9.23,60589,-5.570000000000001,0
HAMVX,0.26,11.21,6.01,7314,-11.99,0
SWLSX,1.41,28.45,20.41,234379,3.3299999999999983,1
DDFRX,0.49,17.61,9.81,47090,-7.41,0
BASAX,1.67,33.75,22.94,5807,5.84,1
HICVX,0.25,13.87,8.01,88887,-11.3,0
ABSKX,0.41,14.98,8.23,4284,-9.87,0
MJRFX,0.86,13.03,8.06,16769,-4.15,0
JLGZX,2.34,32.2,24.93,152879,14.77,1
VSOIX,0.76,18.17,9.7,2696,-4.24,0
LSVAX,0.4,14.78,8.07,2711,-9.36,0
PCCOX,1.32,22.91,17.68,170492,2.28,1
SFMRX,1.98,35.93,24.93,22126,9.54,1
VFPIX,0.91,14.64,5.93,839,-4.840000000000002,0
GBSCX,0.71,23.0,16.76,3332,-5.98,0
SEQUX,1.41,26.21,18.23,85188,3.219999999999999,1
JCNAX,1.77,22.7,16.71,19870,6.77,1
SZCIX,0.84,16.13,7.9,1751,-3.28,0
SBHAX,1.38,26.87,21.5,64754,2.3599999999999994,1
VVOSX,0.71,13.52,6.49,10997,-9.4,0
DFSGX,1.88,46.36,24.23,4457,9.46,1
BISCX,2.24,31.51,14.35,3699,13.36,1
CCASX,1.58,42.41,26.8,3625,6.169999999999997,1
FGIRX,0.82,16.3,11.73,95510,-4.500000000000001,0
SSETX,2.53,52.36,22.55,4669,19.48,1
WPSIX,1.68,27.95,22.31,100343,5.949999999999998,1
SVFFX,0.8,15.95,9.87,60200,-3.150000000000001,0
WSMIX,0.23,17.51,13.09,6867,-10.88,0
ENSBX,1.73,27.1,25.48,55331,6.66,1
SDIVX,0.4,14.18,7.88,95547,-9.36,0
JNVYX,0.95,19.04,12.75,14323,-2.040000000000001,0
SELCX,1.75,29.79,22.45,220158,7.1099999999999985,1
POPFX,0.79,16.88,12.38,10180,-4.500000000000001,0
USPFX,0.79,16.81,10.44,197897,-4.690000000000001,0
ALCKX,1.8,32.34,25.36,166768,7.879999999999999,1
JMGFX,2.09,31.3,23.77,24017,12.330000000000002,1
FEAIX,0.36,22.95,17.97,190504,-11.05,0
QMLAX,1.32,21.58,13.27,30504,2.1999999999999997,1
TRMIX,0.67,16.2,9.29,10983,-5.920000000000001,0
MVIAX,0.78,17.56,12.15,77454,-5.120000000000001,0
RVPIX,1.72,29.2,19.16,1451,10.73,1
TGVNX,0.45,14.66,9.22,9199,-10.19,0
GMVCX,0.57,18.16,11.54,6090,-8.17,0
HILVX,1.03,19.86,16.28,55931,-2.5300000000000007,0
DHTYX,1.08,13.53,10.56,12247,-2.66,0
ICVPX,0.54,15.2,7.36,2689,-7.200000000000001,0
RICFX,0.95,20.09,14.57,165629,-2.3100000000000005,0
WFSSX,0.82,17.61,9.08,3629,-5.870000000000001,0
WFLVX,0.62,10.01,13.31,59144,-7.450000000000001,0
IHSUX,2.26,27.15,15.79,4595,15.21,1
HFMIX,1.41,21.48,14.48,7715,2.99,1
PTWAX,1.46,28.52,21.78,207673,2.7300000000000004,1
ISGEX,1.63,30.87,17.12,4520,6.7499999999999964,1
VSEMX,1.47,20.34,13.03,7270,5.299999999999999,1
BALVX,0.43,14.44,9.8,32193,-8.620000000000001,0
RSMRX,1.44,26.5,17.33,5220,3.129999999999999,1
MSCGX,0.98,13.31,11.38,5788,-2.2300000000000004,0
SMDOX,0.98,18.66,15.01,13769,-2.390000000000001,0
SMDLX,0.73,14.76,8.09,46761,-6.290000000000001,0
GATAX,0.8,20.67,10.04,23001,-5.350000000000001,0
EFCAX,1.97,27.84,18.02,42124,10.989999999999998,1
GCMAX,0.86,20.97,15.27,16021,-3.850000000000001,0
SDVRX,0.08,12.24,5.98,11316,-15.44,0
COGLX,1.04,16.89,11.44,41383,-3.0600000000000005,0
MNNAX,0.75,17.69,14.16,67030,-5.290000000000001,0
MPDIX,1.62,27.25,19.76,256718,5.6,1
OIERX,0.77,18.57,13.89,90410,-4.770000000000001,0
MOTZX,1.81,30.77,23.8,18099,7.23,1
FFIOX,-0.17,16.42,13.3,35283,-16.32,0
LADVX,2.77,37.43,25.73,5286,24.46,1
GMYPX,0.66,20.07,14.86,88920,-6.32,0
MNDHX,2.18,28.86,19.55,4364,14.38,1
LGOFX,1.91,41.07,25.53,21749,9.11,1
MXNZX,0.9,19.39,9.98,5168,-2.130000000000001,0
HFCVX,0.24,13.87,8.01,88887,-11.7,0
EAFRX,0.34,22.95,17.97,190504,-11.52,0
CGQFX,1.46,23.38,17.54,172135,4.34,1
GTMUX,2.14,35.85,27.15,9332,13.81,1
POLIX,2.04,33.88,26.9,227729,10.41,1
DSEFX,1.39,25.36,17.35,153720,3.34,1
FAKDX,0.52,11.19,7.33,49158,-7.81,0
LMORX,2.02,11.62,8.05,18136,8.149999999999999,1
SCVAX,0.47,13.39,7.03,1518,-8.030000000000001,0
SPSDX,0.08,9.97,3.92,2209,-13.25,0
NMUCX,0.97,22.18,15.08,115344,-4.12,0
ACFGX,2.77,45.28,28.94,97420,22.32,1
LOVLX,0.46,16.67,11.75,11132,-8.030000000000001,0
OVECX,0.63,15.44,8.8,10378,-9.34,0
OGFAX,1.25,21.61,15.85,165612,2.01,1
ANOGX,2.15,27.85,17.1,4039,13.46,1
FFDKX,1.45,27.56,19.07,238979,4.099999999999998,1
ADNAX,3.67,95.4,34.58,28692,37.14,1
OCLGX,1.63,29.53,22.93,223377,3.810000000000001,1
CBEJX,0.86,14.26,8.4,33782,-5.1400000000000015,0
CFSIX,2.64,61.39,31.89,108768,17.16,1
LBGCX,1.74,35.9,25.61,22858,5.949999999999998,1
TSCHX,0.86,12.42,8.7,2246,-2.390000000000001,0
LCBIX,0.28,13.79,5.81,2139,-12.24,0
LGLVX,2.65,48.96,32.45,96415,20.36,1
MNRMX,0.5,17.07,12.06,63843,-8.48,0
LCIAX,1.31,22.74,16.49,132447,2.74,1
SGFCX,3.12,110.91,37.37,11232,25.05,1
OLGCX,2.32,32.2,24.93,152879,14.209999999999996,1
MSEFX,1.08,18.96,16.33,84516,-2.6500000000000004,0
MXOAX,0.69,14.1,10.03,10113,-5.820000000000001,0
IRLSX,1.88,30.48,23.48,462145,9.66,1
VVISX,0.77,16.89,9.54,2046,-5.6000000000000005,0
SCGNX,1.52,22.37,11.98,1544,8.93,1
RSGCX,1.01,20.54,12.27,55819,-4.07,0
JMGPX,2.06,31.3,23.77,24017,11.32,1
MARFX,0.86,13.03,8.06,16769,-4.2700000000000005,0
WSCRX,1.55,20.81,13.44,3978,4.059999999999999,1
QBLGX,1.82,30.12,19.84,147896,6.98,1
VDSRX,0.88,17.94,14.33,72465,-2.9600000000000017,0
AVFIX,0.58,12.8,6.62,2475,-7.710000000000001,0
ATIRX,0.62,11.38,4.54,3271,-6.780000000000001,0
LCBVX,0.7,18.54,14.04,95714,-6.9700000000000015,0
JHSGX,1.7,31.2,23.79,233311,6.029999999999998,1
ATDAX,0.29,12.79,11.19,8976,-12.21,0
EICVX,0.57,13.69,7.81,44744,-6.8100000000000005,0
HDGCX,0.8,17.56,13.32,127421,-5.560000000000001,0
BSVGX,0.37,13.09,5.92,1535,-9.16,0
ALVIX,0.66,18.22,14.03,94888,-6.6000000000000005,0
SPYGX,2.77,38.42,28.8,12140,22.62,1
LLSCX,0.88,10.75,3.74,3649,-4.7,0
DMCYX,0.88,17.55,13.61,16108,-4.94,0
HSMAX,0.65,11.79,7.93,1844,-6.590000000000002,0
SASVX,0.35,18.14,12.89,4959,-10.16,0
DWOAX,1.97,36.57,26.88,189215,10.13,1
LSITX,1.7,27.29,22.82,202379,6.1099999999999985,1
CFDAX,0.85,37.85,27.83,121342,-7.170000000000001,0
ETGLX,2.21,45.37,24.24,16402,12.5,1
THLCX,2.0,32.14,24.23,294701,10.080000000000002,1
BAWAX,1.99,39.03,29.27,102955,10.06,1
SLRYX,1.77,29.79,22.45,220158,7.66,1
PIGFX,1.6,27.52,22.33,191977,5.41,1
GACIX,0.68,19.24,8.48,3319,-6.070000000000001,0
TVOAX,0.48,15.88,9.38,2974,-8.780000000000001,0
SEMCX,0.63,15.29,9.55,14517,-6.700000000000001,0
ALFVX,1.27,17.08,12.19,3517,2.889999999999999,1
BGMAX,1.49,24.35,19.62,12018,3.2399999999999984,1
JCVSX,0.41,11.39,5.84,25171,-13.170000000000002,0
TWQCX,0.34,18.17,13.24,96739,-11.8,0
EATVX,0.83,19.22,15.16,97863,-4.61,0
SMMIX,2.01,32.6,16.45,95897,10.59,1
PLXGX,2.04,43.56,29.74,112200,8.689999999999998,1
TFCCX,0.72,19.61,14.27,123031,-5.9700000000000015,0
TSMDX,0.88,21.71,14.25,7456,-2.860000000000001,0
MRLIX,1.41,24.32,18.31,104375,2.5,1
CICEX,0.9,20.09,14.57,165629,-3.45,0
HMVJX,0.57,16.46,12.54,8695,-7.330000000000001,0
VRTGX,1.54,24.75,15.52,3119,7.170000000000003,1
RIMHX,0.25,17.71,10.57,53120,-9.57,0
TILWX,1.96,33.88,25.41,193993,11.22,1
FFQCX,2.18,52.92,30.45,213301,12.52,1
DDDAX,1.0,20.15,8.58,3633,-3.2300000000000004,0
CCSMX,1.7,42.96,27.3,7155,6.02,1
VSTSX,1.3,22.25,15.88,100020,2.77,1
FEICX,0.5,13.51,9.68,45645,-9.24,0
HSVRX,0.82,20.34,11.56,4203,-4.500000000000001,0
ACAYX,1.94,31.57,23.72,271237,9.84,1
CPECX,0.8,27.89,16.88,67784,-5.65,0
FSCRX,0.75,13.48,7.85,3052,-4.630000000000001,0
MDBAX,0.64,13.22,8.52,47409,-7.120000000000001,0
CPODX,3.61,170.85,37.04,42148,35.09,1
LMVOX,0.93,10.77,6.95,1899,-4.090000000000002,0
NOLVX,0.62,15.42,10.25,45669,-6.57,0
NBMBX,1.73,40.69,24.44,19946,6.719999999999999,1
GTTTX,0.56,11.11,4.87,1388,-6.960000000000001,0
AZSPX,0.67,15.61,9.5,744,-4.16,0
VISGX,1.7,31.65,20.54,6780,8.669999999999998,1
SVACX,0.06,13.41,8.11,85761,-12.59,0
MDDRX,0.53,14.91,10.56,74343,-8.430000000000001,0
FCGSX,2.55,37.51,26.3,132434,19.04,1
WLCVX,0.45,14.58,9.33,45979,-9.63,0
HFDRX,0.74,20.73,15.47,13829,-5.800000000000002,0
DREVX,1.43,25.52,21.26,214347,3.3599999999999994,1
NWQRX,0.43,14.8,9.73,4346,-9.29,0
EAFVX,0.85,18.3,12.02,57886,-4.19,0
PECAX,0.76,23.4,16.44,8367,-5.78,0
FRSLX,1.8,26.69,25.39,18293,6.830000000000003,1
FCMVX,0.26,12.68,7.35,9794,-10.11,0
FCGAX,1.6,32.26,25.15,118730,5.4499999999999975,1
AAUTX,0.64,13.56,9.07,73827,-7.550000000000002,0
OTCIX,1.94,39.11,29.43,21470,9.170000000000002,1
GSRCX,0.8,14.22,8.98,31083,-5.460000000000001,0
TLGCX,1.06,27.52,18.93,35334,-3.700000000000001,0
PEIJX,0.86,19.32,13.96,79172,-3.3300000000000014,0
CSSWX,1.51,26.75,17.7,3188,5.529999999999998,1
HUMEX,0.16,11.67,4.98,2579,-11.79,0
MEIAX,0.67,18.09,14.75,93338,-6.67,0
JSMGX,1.51,26.17,15.83,5791,3.34,1
HQIFX,0.68,17.67,13.97,99596,-5.630000000000001,0
MSPRX,2.43,68.58,32.98,68600,15.11,1
MSSCX,2.16,20.72,12.37,4584,13.579999999999998,1
FDGFX,0.75,17.66,12.16,70557,-5.0600000000000005,0
SWANX,0.92,20.56,15.26,139941,-2.7200000000000006,0
FVWSX,1.61,30.24,24.1,219611,5.479999999999999,1
BIASX,1.69,33.75,22.94,5807,6.399999999999999,1
EMIVX,1.62,26.36,21.54,162582,5.289999999999999,1
JSJIX,1.18,25.6,14.38,3703,2.9499999999999997,1
MLUYX,0.52,16.03,10.15,16957,-8.22,0
TRSEX,0.85,12.42,8.7,2246,-2.74,0
KSMVX,0.61,13.59,8.45,4317,-9.02,0
LAVSX,0.56,16.15,12.81,64834,-7.66,0
IVALX,0.73,14.59,8.88,48303,-6.84,0
ABCVX,0.93,19.37,14.26,153064,-2.8800000000000012,0
CSECX,1.66,28.81,22.35,106672,4.7799999999999985,1
ACSDX,0.5,13.89,7.01,50662,-9.08,0
NMAVX,0.8,15.93,18.92,10060,-3.110000000000001,0
TIRTX,1.91,33.88,25.41,193993,9.69,1
MFCCX,1.17,16.79,9.04,5440,-2.08,0
LMSAX,0.91,16.82,8.29,2439,-4.270000000000001,0
RCMFX,0.81,19.83,10.67,14246,-5.82,0
FIKNX,0.63,10.35,5.44,2613,-5.0600000000000005,0
CGRWX,0.57,13.82,6.62,63265,-8.540000000000001,0
MBCGX,1.68,30.95,24.15,241308,5.219999999999999,1
CMCCX,1.63,32.22,26.56,18646,5.0299999999999985,1
JCVVX,0.45,11.39,5.84,25171,-12.28,0
TSVIX,0.63,14.4,8.56,6211,-6.360000000000001,0
FBSRX,0.39,15.25,10.58,35255,-10.760000000000002,0
SLVRX,0.65,13.52,9.23,60589,-6.78,0
VASVX,0.59,12.06,5.02,6252,-8.440000000000001,0
GMVRX,0.62,18.16,11.54,6090,-7.15,0
LOGWX,2.77,37.43,25.73,5286,24.479999999999997,1
MMDEX,1.73,30.15,22.86,321684,8.18,1
VWUAX,2.32,42.84,26.41,152935,15.799999999999995,1
BOSVX,0.25,9.65,2.97,681,-10.510000000000002,0
FSGAX,2.11,45.97,29.51,17088,12.979999999999995,1
HDMBX,2.27,27.2,15.81,4550,15.04,1
DRGYX,0.68,16.29,12.37,49047,-6.51,0
PSTWX,0.51,13.39,7.1,2203,-8.25,0
ADCYX,1.54,34.06,24.5,217864,4.869999999999999,1
TCMSX,1.58,25.12,15.28,3488,6.759999999999998,1
LBISX,0.51,14.44,10.33,73939,-8.120000000000001,0
GSXPX,0.57,11.11,4.87,1388,-6.360000000000001,0
ATRIX,0.89,20.79,15.93,17256,-4.15,0
FUQIX,1.39,22.36,19.54,211247,3.65,1
FFMMX,0.71,18.18,12.53,101581,-4.3500000000000005,0
SENCX,1.4,21.92,15.98,238608,3.229999999999998,1
HGITX,1.37,23.16,19.29,161048,3.169999999999998,1
FTVZX,0.79,15.16,9.4,11300,-4.830000000000001,0
AUIKX,0.65,18.02,13.36,125398,-6.58,0
LGLQX,2.59,48.96,32.45,96415,18.86,1
FDGIX,0.75,17.67,12.18,70349,-5.130000000000001,0
RESCX,1.64,27.22,17.48,8392,3.810000000000001,1
LOGRX,0.96,16.93,10.92,99697,-2.700000000000001,0
GQPSX,1.35,23.83,17.32,201682,3.65,1
VYCAX,0.95,17.42,11.48,134945,-2.74,0
PVIVX,1.7,19.66,12.02,1302,7.57,1
JLGQX,2.38,32.2,24.93,152879,15.9,1
IRVSX,0.61,18.08,12.71,138564,-6.940000000000001,0
AASSX,0.54,12.8,6.62,2475,-8.620000000000001,0
PJARX,0.49,13.39,7.1,2203,-8.620000000000001,0
ASVPX,0.14,11.55,9.9,3571,-13.04,0
LMCSX,0.44,16.67,11.75,11132,-8.71,0
REGWX,1.74,28.57,19.44,3914,5.73,1
FLMVX,0.54,16.53,9.49,14611,-7.460000000000001,0
ALVRX,0.62,18.22,14.03,94888,-7.590000000000002,0
DTCCX,1.35,22.79,19.92,188676,2.41,1
AEIMX,0.64,18.44,13.07,81529,-4.8100000000000005,0
TMFGX,1.38,33.53,21.68,12643,2.9599999999999986,1
NGQIX,0.89,22.46,16.48,163126,-3.2500000000000013,0
WBGSX,1.92,32.18,24.7,87038,9.07,1
LSVQX,0.25,10.66,5.27,1991,-11.93,0
CPTUX,1.75,32.01,18.38,112035,7.349999999999998,1
WMMCX,0.45,18.25,8.68,651,-8.57,0
FRBSX,0.41,15.25,10.58,35255,-10.260000000000002,0
FJACX,0.91,13.55,7.88,2974,-2.0,0
JMVAX,0.49,17.7,11.1,10030,-7.920000000000001,0
VMIDX,0.88,18.64,11.1,5906,-2.500000000000001,0
FFFMX,0.71,18.18,12.53,101581,-4.300000000000002,0
FDESX,1.36,24.98,19.22,142746,2.5600000000000005,1
ANPRX,0.47,17.08,12.21,19560,-8.88,0
TIEIX,1.29,21.52,15.39,99015,2.629999999999999,1
HADUX,0.23,17.35,11.92,72613,-11.78,0
OPMYX,0.89,21.23,12.48,17004,-3.3500000000000005,0
FRVLX,0.66,15.76,7.77,2622,-5.600000000000001,0
SCQGX,1.94,28.99,25.89,175230,10.979999999999995,1
CUSRX,0.91,15.23,9.49,1819,-4.1400000000000015,0
FAGOX,2.99,33.7,24.26,121246,25.87,1
MSGZX,1.93,26.81,16.19,4612,10.509999999999998,1
ECOLX,2.03,45.14,28.06,41086,11.45,1
GCMUX,0.9,20.97,15.27,16021,-3.0400000000000014,0
AULDX,2.21,38.1,25.99,304076,13.489999999999998,1
PRILX,1.41,25.52,16.99,136646,3.8599999999999977,1
LDPCX,1.36,18.68,13.47,137635,-3.98,0
ASVDX,0.87,14.86,7.58,2270,-3.4400000000000013,0
KNGAX,0.84,18.07,13.12,39270,-4.36,0
MONTX,1.5,32.68,23.99,261419,3.3599999999999994,1
SAIFX,0.76,18.54,14.04,95714,-5.520000000000001,0
BRWSX,1.5,26.87,19.2,220975,4.43,1
RGACX,1.64,28.98,21.3,144040,5.940000000000001,1
CCACX,1.01,23.68,17.19,15331,-2.700000000000001,0
PMDIX,0.3,17.5,11.17,5445,-10.34,0
NGQCX,0.79,22.46,16.48,163126,-5.58,0
RSEIX,0.39,15.94,10.74,1231,-7.920000000000001,0
APDLX,0.81,16.45,10.41,82254,-6.53,0
FVLTX,0.25,13.69,8.49,68687,-12.14,0
ICSSX,0.55,15.2,7.36,2689,-6.8900000000000015,0
HQICX,0.59,17.67,13.97,99596,-7.8900000000000015,0
CFGRX,1.67,29.74,24.11,190275,7.629999999999999,1
CCSGX,1.72,42.96,27.3,7155,6.549999999999998,1
PEIOX,0.84,19.32,13.96,79172,-4.110000000000001,0
TIAGX,1.38,30.86,21.0,13320,2.78,1
PTMCX,0.89,16.86,13.52,139865,-3.9600000000000013,0
OLGAX,2.36,32.2,24.93,152879,15.339999999999995,1
DDVIX,0.59,14.09,10.36,71963,-7.9300000000000015,0
SGRHX,2.25,44.5,27.9,76348,13.59,1
HDCAX,0.42,14.7,11.66,83547,-7.530000000000001,0
LGLSX,2.62,48.96,32.45,96415,19.67,1
NBHAX,0.54,20.0,13.2,59896,-6.3900000000000015,0
OFVIX,0.53,13.42,10.24,38828,-8.24,0
VLEQX,0.97,23.15,25.56,12064,-2.0300000000000007,0
CZMVX,0.76,17.07,12.39,82058,-5.230000000000001,0
