Ticker,Dividend Yield (%),Price/Earnings,Price/Cash Flow,Average Market Cap ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform
VSVCX,0.74,17.91,14.3,71972,-5.99,0
HHDVX,0.58,15.14,9.76,38930,-7.15,0
VNVCX,0.69,15.62,10.57,9701,-8.150000000000002,0
HIGSX,0.8,20.6,16.07,153772,-3.62,0
TOTRX,0.7,13.7,7.91,12508,-6.330000000000001,0
DFMGX,1.86,43.54,26.27,19768,7.879999999999999,1
LADPX,2.72,37.43,25.73,5286,23.24,1
MNNYX,0.78,17.69,14.16,67030,-4.540000000000001,0
HMVYX,0.57,16.46,12.54,8695,-7.19,0
TRJZX,1.78,32.85,23.84,258775,8.419999999999998,1
FVDKX,0.69,14.35,9.41,51559,-5.090000000000002,0
MIDIX,0.82,19.59,13.52,151558,-3.2500000000000013,0
RSCKX,1.8,27.3,17.41,3638,6.969999999999999,1
LIVVX,0.72,18.54,14.04,95714,-6.380000000000001,0
OTCCX,1.85,39.11,29.43,21470,6.98,1
OLVRX,0.77,13.96,9.26,26609,-5.700000000000001,0
GGZPX,1.3,22.9,18.11,123209,2.26,1
AMGCX,2.05,41.08,26.75,15066,11.099999999999998,1
