Ticker,ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,"Closed to New Investors (Yes=1, No=0)",3-year Annualized Return vs. S&P500,Outperform / Underperform
DRIPX,20.4,51.09,70,24.81,0,-3.0,0
VSVCX,28.52,44.86,79,30.32,0,-5.99,0
HHDVX,22.38,48.24,29,41.29,0,-7.15,0
VNVCX,11.48,44.96,68,27.34,0,-8.150000000000002,0
HIGSX,29.2,48.21,42,36.09,0,-3.62,0
TOTRX,6.58,44.08,67,23.43,0,-6.330000000000001,0
DFMGX,12.14,38.01,36,42.96,0,7.879999999999999,1
LADPX,-6.16,30.88,102,17.28,0,23.24,1
MNNYX,27.97,44.85,79,28.49,0,-4.540000000000001,0
HMVYX,8.54,40.9,83,19.39,0,-7.19,0
TRJZX,23.74,39.14,87,45.62,1,8.419999999999998,1
FVDKX,13.05,41.5,112,24.27,0,-5.090000000000002,0
MIDIX,30.87,51.13,73,39.78,0,-3.2500000000000013,0
RSCKX,-8.33,43.24,41,38.97,1,6.969999999999999,1
LIVVX,22.35,51.22,55,34.04,0,-6.380000000000001,0
OTCCX,13.35,39.89,107,23.0,0,6.98,1
OLVRX,6.52,50.48,77,29.58,0,-5.700000000000001,0
GGZPX,26.25,42.94,138,29.64,0,2.26,1
AMGCX,8.34,32.59,110,21.4,0,11.099999999999998,1
GABEX,17.86,47.46,212,29.3,0,-7.94,0
SLGYX,38.13,47.22,57,42.89,0,3.67,1
MVCAX,6.25,43.82,152,11.35,0,-5.800000000000002,0
HNGSX,28.74,43.67,37,42.01,0,2.4199999999999977,1
CMLFX,24.68,48.98,175,23.07,0,-4.300000000000002,0
ATFFX,28.85,39.9,25,59.97,0,11.09,1
SMDQX,16.31,44.66,32,50.71,0,-4.4700000000000015,0
MERBX,16.55,36.74,30,45.46,1,-2.9000000000000004,0
IEOHX,31.0,45.13,56,48.26,0,6.549999999999998,1
FBGKX,18.1,39.63,464,45.78,0,17.249999999999996,1
PEQSX,19.73,51.57,92,25.41,0,-3.5800000000000014,0
MSMJX,13.86,41.03,82,21.04,0,-2.89,0
NCBVX,2.55,41.96,190,10.63,0,-16.4,0
THGRX,19.27,39.26,43,47.92,0,8.830000000000002,1
IPSSX,6.54,35.37,561,7.46,0,-6.200000000000001,0
WLCIX,17.74,39.05,110,25.3,0,-5.23,0
HWVIX,1.36,38.58,352,5.13,0,-7.950000000000001,0
MIGBX,28.83,42.15,54,42.39,0,4.799999999999997,1
RSQCX,13.19,14.25,38,40.93,0,-10.19,0
FTHFX,14.38,38.02,116,27.53,0,-3.5200000000000014,0
NGDCX,17.12,38.26,73,31.64,0,4.389999999999999,1
LGOQX,7.15,42.42,100,19.25,0,8.009999999999998,1
MCMYX,13.23,38.14,80,19.77,0,-2.039999999999999,0
VSCAX,3.52,45.94,72,31.61,0,-9.21,0
SDSCX,-7.77,36.19,104,25.25,0,19.76,1
WBSRX,1.17,43.11,92,17.76,0,8.09,1
SSMAX,9.49,41.07,543,8.74,0,-2.460000000000001,0
JAMRX,28.07,43.02,81,49.6,0,7.1099999999999985,1
VAFCX,21.51,40.93,95,44.36,0,7.079999999999997,1
BMDSX,23.57,35.62,60,25.99,0,7.75,1
AFYCX,31.58,52.43,48,35.85,0,-5.44,0
WEEIX,17.48,42.35,47,28.72,0,-6.420000000000001,0
SSCVX,7.48,39.69,57,28.48,0,-6.9700000000000015,0
VCBCX,24.03,36.47,122,47.96,0,6.580000000000003,1
VPMAX,27.77,46.1,154,37.67,1,2.0699999999999985,1
JVTCX,-0.84,34.17,136,19.87,1,3.169999999999998,1
ESEAX,17.23,46.77,30,48.85,0,2.3899999999999992,1
DCSVX,8.34,37.99,113,13.22,0,-11.16,0
ACSRX,9.82,46.41,83,25.49,0,-10.09,0
ARIMX,6.65,42.69,59,35.51,0,-4.28,0
WWSAX,0.14,37.3,94,26.66,0,-4.0200000000000005,0
GTILX,39.01,43.82,59,28.53,0,2.5,1
ELFNX,27.25,43.5,47,42.01,0,5.09,1
BASMX,22.87,44.6,2777,22.42,0,2.089999999999998,1
PSLBX,3.29,41.64,111,15.3,1,-11.08,0
DPSRX,13.76,39.79,297,10.55,0,-8.49,0
JTUCX,-1.44,40.14,482,8.52,0,-3.49,0
BITSX,22.87,44.6,2777,22.42,0,2.549999999999999,1
SSEFX,12.48,51.21,26,52.09,0,-7.100000000000001,0
ESGGX,14.26,44.08,84,36.93,1,-6.3100000000000005,0
SAGYX,14.03,43.08,54,54.69,0,-2.3600000000000008,0
FDGCX,19.72,48.03,129,24.26,0,-7.260000000000002,0
LMVTX,5.58,49.73,69,26.73,0,-6.710000000000001,0
JVSAX,15.55,39.25,51,25.77,0,-7.950000000000001,0
VVIAX,18.62,48.01,328,22.01,0,-5.170000000000001,0
RWEBX,20.76,46.39,182,30.64,0,-4.190000000000001,0
EMICX,28.83,42.15,54,42.39,0,4.68,1
THCGX,19.27,39.26,43,47.92,0,8.080000000000002,1
LMPRX,14.03,43.08,54,54.69,0,-3.640000000000001,0
STAFX,24.5,39.31,66,50.65,0,5.649999999999999,1
SCIUX,30.81,52.58,108,19.53,0,-11.24,0
PEGEX,6.93,37.54,73,20.93,0,8.059999999999999,1
FAIVX,12.99,41.45,111,24.19,0,-5.590000000000002,0
ZDIIX,19.62,47.81,65,29.39,0,-7.330000000000001,0
TSLRX,1.94,44.26,107,14.57,0,-8.98,0
GSSSX,3.59,38.48,239,10.33,0,-8.99,0
QRLVX,19.06,47.74,101,22.73,0,-8.0,0
UBVVX,2.17,48.95,87,29.14,0,-7.620000000000001,0
FDERX,14.83,46.51,73,25.74,0,-9.15,0
ECLCX,26.65,39.94,62,46.12,0,5.799999999999998,1
CSDGX,17.38,36.33,71,18.27,0,-2.119999999999999,0
DHMIX,1.91,45.01,63,30.84,1,-7.07,0
NUESX,35.62,48.41,176,30.97,0,2.3200000000000003,1
WECRX,24.25,45.5,39,47.94,0,10.549999999999997,1
SGICX,30.96,36.79,90,36.21,0,-3.24,0
AGWUX,28.23,40.35,82,53.59,0,8.77,1
MSLVX,18.04,46.21,308,17.78,0,-6.870000000000001,0
HSLSX,-1.72,36.8,174,11.02,0,3.78,1
IHSSX,-3.51,34.38,120,16.59,0,14.509999999999998,1
BIMFX,24.86,35.74,168,24.85,0,-3.1800000000000006,0
VALAX,21.34,49.89,75,22.63,0,-3.7200000000000006,0
IRGJX,15.59,41.47,351,11.72,0,7.2600000000000025,1
ICMAX,9.37,34.39,41,43.3,0,-3.940000000000001,0
JUEMX,27.73,46.67,57,40.08,0,3.9599999999999986,1
EACVX,6.25,43.82,152,11.35,1,-5.870000000000001,0
WFPRX,14.18,43.31,74,27.55,0,-5.19,0
TVSVX,6.6,27.5,34,51.64,0,-10.17,0
COLEX,18.4,47.62,96,23.52,0,-9.2,0
VSTCX,6.52,43.21,508,7.62,0,-4.050000000000002,0
FAMVX,20.65,43.39,38,50.29,0,-4.16,0
UCNQX,31.12,41.36,105,50.79,0,12.03,1
AEIUX,23.7,43.44,105,31.07,0,-5.830000000000001,0
GSPPX,27.17,41.02,77,43.84,0,10.65,1
CHCYX,5.06,34.76,100,18.03,0,12.549999999999995,1
TRZAX,17.94,47.45,116,28.9,1,-2.5600000000000005,0
DNSMX,-4.23,34.72,119,17.07,0,25.06,1
OTCBX,13.35,39.89,107,23.0,0,6.9899999999999975,1
DTMVX,3.46,36.98,1360,7.09,0,-8.39,0
SASWX,2.15,36.92,2027,9.58,0,-4.15,0
OVEIX,10.91,46.91,41,35.51,0,-7.300000000000002,0
WPSKX,29.22,47.96,21,63.01,0,5.33,1
SSCPX,8.12,42.43,101,20.47,0,-2.200000000000001,0
AGTHX,16.32,41.62,392,35.89,0,6.639999999999998,1
WGFCX,12.97,36.95,91,39.93,0,11.52,1
PNASX,-2.11,34.18,1242,11.43,1,8.759999999999998,1
JGISX,35.45,46.87,89,43.29,0,4.3599999999999985,1
MRAEX,15.75,48.22,69,30.57,0,5.969999999999999,1
NQVRX,11.92,47.55,56,27.82,0,-7.630000000000001,0
TGWTX,13.24,36.9,108,34.29,0,18.67,1
FDFKX,32.5,45.99,72,34.51,0,2.33,1
ODGIX,29.72,38.48,54,47.63,0,7.940000000000001,1
JSVZX,-1.66,41.18,474,8.28,0,-8.0,0
LGOTX,7.15,42.42,100,19.25,0,9.329999999999998,1
SAUMX,9.04,38.08,1599,4.42,0,-4.54,0
DRTCX,31.19,46.03,37,47.0,0,4.57,1
VDSIX,28.58,44.89,79,30.44,0,-3.0700000000000003,0
TGVCX,24.39,40.87,45,44.13,0,6.1400000000000015,1
TWHIX,11.91,38.86,82,23.19,0,8.969999999999997,1
HGOTX,16.38,44.18,73,40.21,0,14.459999999999996,1
JDESX,27.75,45.42,192,29.81,0,2.26,1
HRCUX,34.84,42.29,74,43.14,0,4.42,1
HRCYX,34.84,42.29,74,43.14,0,3.5,1
QUASX,-3.25,27.6,114,16.1,0,16.91,1
UBVRX,2.17,48.95,87,29.14,0,-8.930000000000003,0
SFLNX,19.2,49.37,710,17.94,0,-2.0200000000000014,0
LMVRX,5.58,49.73,69,26.73,0,-6.020000000000001,0
VITNX,22.6,44.63,3356,22.34,0,2.75,1
VYCIX,22.52,51.65,103,12.19,0,-2.210000000000001,0
LRSVX,8.29,41.39,75,20.79,0,-8.360000000000001,0
VMFVX,5.48,42.52,308,7.9,0,-5.120000000000001,0
NBHRX,19.52,46.72,83,25.08,0,-6.920000000000001,0
RPRRX,13.03,30.08,55,26.91,0,-3.530000000000001,0
UISCX,3.43,36.23,617,8.43,0,2.369999999999999,1
PPVIX,4.8,40.45,1601,13.19,0,-7.510000000000002,0
GOWLX,17.56,46.46,41,40.09,0,-4.010000000000002,0
NEXTX,10.72,36.05,55,38.79,0,28.87,1
IDHCX,24.49,56.22,45,45.86,0,-8.690000000000001,0
OPOCX,5.78,34.68,115,20.15,1,13.579999999999998,1
JGTTX,28.69,43.23,84,37.27,0,13.689999999999998,1
WHGMX,7.38,39.43,65,20.32,0,-4.8900000000000015,0
GLSRX,11.34,38.95,35,35.9,0,5.059999999999999,1
JNRFX,28.07,43.02,81,49.6,1,7.309999999999999,1
NBNGX,10.86,42.5,76,21.92,0,3.9899999999999984,1
SSPGX,32.38,42.3,43,50.26,0,9.06,1
WLVDX,24.92,37.89,107,18.24,0,-3.450000000000001,0
GEQYX,27.28,45.57,502,27.25,0,2.03,1
JVAPX,12.47,46.38,121,20.16,0,-8.46,0
PFGKX,35.11,44.99,40,48.13,0,6.300000000000002,1
AULYX,30.27,42.76,63,52.32,0,13.479999999999995,1
VBCVX,19.81,39.3,107,23.96,0,-10.49,0
OINCX,19.37,46.33,87,22.55,0,-6.6400000000000015,0
LMCPX,14.38,44.93,77,18.35,1,-9.13,0
DBMAX,-7.77,36.19,104,25.25,0,19.22,1
SABTX,8.72,43.32,298,23.49,0,-10.08,0
CGJIX,31.26,44.45,566,38.08,0,10.98,1
WEMMX,4.32,35.72,378,24.08,0,-7.04,0
ALVCX,12.54,48.12,168,21.82,0,-9.31,0
JANEX,13.87,43.55,85,23.14,0,3.6599999999999984,1
ANFVX,11.05,36.95,150,21.61,0,-12.72,0
DFDSX,8.88,37.71,47,34.63,0,9.27,1
RIVEX,17.97,29.27,47,35.27,0,11.959999999999996,1
VPMOX,8.95,45.01,68,25.87,0,7.68,1
BFTIX,11.21,33.46,39,41.05,0,12.55,1
JAPAX,20.15,42.02,58,28.02,0,-7.44,0
VAGGX,10.07,40.95,38,41.67,0,7.73,1
WFMIX,14.18,43.31,74,27.55,0,-5.3900000000000015,0
ALFAX,4.6,34.51,6,100.0,0,-3.0600000000000005,0
ESPIX,8.29,35.09,129,25.01,1,-6.9700000000000015,0
KDHTX,25.91,45.99,44,27.66,0,-7.090000000000002,0
MRBVX,9.4,47.32,90,26.14,0,-7.82,0
JCSCX,10.13,34.52,85,21.54,1,-11.87,0
AVUGX,9.65,42.43,98,26.33,0,-7.080000000000001,0
ASVYX,3.66,42.21,102,23.62,0,-3.450000000000001,0
CWMEX,20.76,46.39,182,30.64,0,-3.7500000000000013,0
PASVX,5.37,37.19,301,10.5,0,-3.4000000000000004,0
NSMAX,8.15,33.08,58,27.51,0,-8.780000000000001,0
RMOMX,5.27,41.36,86,24.86,0,3.2899999999999987,1
EGOCX,29.91,44.69,52,30.7,0,-6.610000000000001,0
DCFGX,24.33,39.89,33,52.41,0,11.739999999999998,1
CAVYX,17.68,43.16,821,12.73,0,-2.2700000000000014,0
MBCZX,25.63,38.89,147,42.18,0,6.41,1
TASCX,6.6,27.5,34,51.64,0,-9.66,0
PEVAX,-1.64,48.72,67,21.5,0,-5.75,0
ASVIX,3.66,42.21,102,23.62,0,-4.15,0
RICEX,22.23,45.93,207,34.18,0,-2.9400000000000004,0
SKSEX,8.66,37.99,74,20.55,0,-8.370000000000001,0
HSCCX,-3.52,38.75,97,24.09,0,2.17,1
PSGIX,-2.39,34.71,560,8.87,0,9.34,1
MLVMX,24.54,43.6,92,27.06,0,-2.46,0
MFUZX,12.25,47.16,154,19.97,0,-8.47,0
FTVNX,13.31,53.17,67,25.96,0,-5.57,0
JLGMX,27.08,41.19,77,37.1,0,16.47,1
DDZRX,18.27,47.8,40,31.38,0,-7.710000000000001,0
SMITX,20.08,40.61,114,40.96,0,10.79,1
LMVWX,2.51,48.15,45,31.26,0,-4.080000000000001,0
PKAIX,24.64,54.86,384,25.53,0,-4.370000000000001,0
MGNDX,36.34,43.91,207,46.38,0,7.41,1
VCSMX,6.84,38.87,816,10.85,0,2.879999999999999,1
GCSUX,3.39,37.57,419,7.52,0,-3.490000000000001,0
OFALX,16.83,47.28,78,19.38,0,-5.630000000000001,0
VVPSX,1.65,47.33,29,53.52,1,-6.300000000000002,0
STDFX,24.5,39.31,66,50.65,0,5.879999999999999,1
JCMVX,9.81,44.33,111,15.45,0,-9.46,0
RBCGX,17.86,41.16,315,39.53,0,6.460000000000001,1
MSAJX,5.29,46.88,52,27.51,0,-8.99,0
PQMAX,25.11,41.14,235,30.2,0,-11.84,0
VACVX,11.91,44.55,130,22.63,0,-6.950000000000001,0
FUNYX,35.11,44.99,40,48.13,0,6.089999999999996,1
IEDZX,7.28,47.02,75,25.55,0,-6.010000000000002,0
CDVZX,15.06,45.17,71,26.29,0,-5.790000000000001,0
PEUCX,16.73,46.08,64,26.38,0,-5.250000000000001,0
IAMOX,8.98,45.02,68,25.86,0,4.57,1
LSVEX,16.8,49.53,175,16.71,0,-9.79,0
HWMIX,-3.17,46.99,70,33.19,0,-14.34,0
VSMIX,3.52,45.94,72,31.61,0,-8.71,0
BRSNX,4.16,38.21,176,14.8,0,-3.950000000000001,0
CEARX,7.8,34.61,114,15.81,0,3.719999999999999,1
HSLVX,-1.72,36.8,174,11.02,0,4.66,1
DCCIX,1.48,37.61,147,13.82,1,-2.09,0
TRSSX,3.8,34.58,271,12.19,1,6.449999999999998,1
PYEQX,18.92,44.62,108,20.15,0,-7.300000000000002,0
MAFGX,27.36,43.72,54,44.66,0,9.16,1
DFTSX,7.71,35.6,1862,3.64,0,-4.3100000000000005,0
PLGIX,24.37,39.91,499,35.21,0,9.43,1
MMAZX,15.71,45.27,47,47.71,0,12.659999999999995,1
TORYX,15.88,45.04,25,48.67,0,-11.670000000000002,0
CSMFX,8.92,39.2,177,16.2,0,-2.8500000000000014,0
UBVSX,2.17,48.95,87,29.14,0,-7.920000000000001,0
SBLGX,25.08,43.58,48,44.3,0,5.27,1
CSVYX,3.09,31.89,193,10.49,0,-7.3900000000000015,0
VOLMX,18.61,38.38,55,25.6,0,-8.27,0
WSHFX,20.76,46.39,182,30.64,0,-3.29,0
IEOPX,31.0,45.13,56,48.26,0,5.25,1
VRNIX,24.47,45.05,1020,24.33,0,2.7099999999999986,1
SSVIX,7.48,39.69,57,28.48,0,-6.300000000000002,0
ALFCX,4.6,34.51,6,100.0,0,-3.1000000000000005,0
ABIZX,11.0,36.8,44,35.28,0,-11.84,0
MOTLX,15.97,42.59,87,25.3,0,6.709999999999997,1
HASGX,4.57,36.73,69,24.51,0,8.29,1
DHMCX,1.91,45.01,63,30.84,1,-9.19,0
BCSIX,7.4,20.36,42,46.44,1,10.38,1
MBCYX,25.63,38.89,147,42.18,0,5.960000000000001,1
CGFEX,16.32,41.62,392,35.89,0,6.039999999999999,1
GTMEX,16.25,43.91,66,24.45,0,-12.19,0
CGQYX,38.66,47.11,69,45.88,0,4.57,1
HNMVX,11.57,48.57,145,14.54,0,-11.82,0
LRSYX,8.29,41.39,75,20.79,0,-8.540000000000001,0
ACGIX,10.66,46.66,78,25.17,0,-9.41,0
LGPSX,33.4,44.55,289,43.95,0,2.1500000000000004,1
PBCKX,29.56,46.28,42,55.8,0,9.96,1
PJGCX,16.72,45.78,36,40.12,0,-13.04,0
BUIMX,17.71,40.37,72,26.69,0,6.27,1
GGRCX,27.17,41.02,77,43.84,0,8.11,1
KCSIX,5.5,42.04,128,14.85,0,-5.37,0
PMSSX,10.63,40.46,404,9.38,1,-3.8800000000000012,0
ITEAX,14.3,49.81,114,24.25,0,-8.290000000000001,0
NDVUX,1.05,44.04,111,15.25,1,-3.66,0
LAFVX,24.07,52.63,72,21.94,0,-7.340000000000002,0
RTOUX,8.27,39.15,1099,6.3,0,-2.0,0
WHGAX,4.92,36.49,62,20.81,0,-6.830000000000001,0
HGIYX,26.31,44.68,72,31.6,0,3.2300000000000004,1
FSCEX,10.48,39.59,142,16.24,0,-4.090000000000002,0
ABSRX,5.08,41.03,101,15.39,0,-10.49,0
MSCOX,-24.26,28.51,44,54.47,0,47.61,1
MMQFX,2.49,39.07,128,16.88,0,-6.780000000000001,0
EQNRX,25.81,45.21,90,33.97,0,-5.73,0
HDGTX,20.81,46.77,75,29.96,0,-3.4200000000000013,0
LOMAX,15.95,46.5,63,42.78,0,-8.040000000000001,0
USMIX,0.33,40.35,3008,7.75,0,4.409999999999998,1
MEPSX,19.33,38.64,111,25.44,0,-9.58,0
LGRRX,27.34,39.72,35,50.23,1,4.569999999999999,1
LFVCX,2.51,48.15,45,31.26,0,-6.32,0
BCMIX,17.9,31.14,40,39.69,0,10.79,1
LCBOX,25.88,50.45,55,33.57,0,-2.67,0
TGWFX,13.24,36.9,108,34.29,0,18.18,1
HQIRX,19.35,46.06,70,27.81,0,-7.060000000000001,0
FTXCX,-2.92,41.97,53,24.83,0,10.639999999999997,1
RSSYX,9.0,42.98,61,26.7,0,5.289999999999999,1
TWRCX,28.23,40.35,82,53.59,0,6.150000000000002,1
LBGIX,6.57,43.76,65,27.54,0,8.239999999999998,1
ACSLX,30.81,42.53,56,57.74,0,5.229999999999999,1
VEXMX,0.32,39.54,3340,7.65,1,4.93,1
QGIAX,31.8,42.43,43,42.32,0,2.599999999999998,1
DAGVX,10.07,46.06,84,26.9,0,-7.08,0
EQNCX,25.81,45.21,90,33.97,0,-5.75,0
MPINX,19.33,38.64,111,25.44,0,-10.77,0
SCCVX,5.65,40.47,100,16.02,0,-10.2,0
BRSBX,4.16,38.21,176,14.8,0,-5.440000000000001,0
SVAYX,15.97,47.39,220,21.05,0,-9.0,0
NDVIX,1.05,44.04,111,15.25,1,-3.6800000000000006,0
CHCKX,5.06,34.76,100,18.03,0,11.73,1
AULGX,30.27,42.76,63,52.32,0,13.14,1
HYBUX,12.38,38.13,73,23.11,0,-9.38,0
FSGRX,-3.6,34.4,133,14.81,0,10.900000000000002,1
PEINX,16.73,46.08,64,26.38,1,-4.48,0
MVRRX,20.67,46.53,78,29.38,0,-7.1800000000000015,0
SVTIX,13.42,47.83,35,44.56,0,-7.6400000000000015,0
IYSIX,-0.78,40.52,80,23.76,0,7.689999999999998,1
PHPPX,4.03,35.93,61,25.57,0,11.98,1
ECTMX,30.92,45.79,52,35.47,0,-2.99,0
CRBRX,7.8,34.61,114,15.81,0,3.78,1
LEGCX,28.23,42.96,57,43.1,0,5.41,1
IDHIX,24.49,56.22,45,45.86,0,-6.6400000000000015,0
ABCIX,30.55,45.8,33,43.08,0,-2.200000000000001,0
RCOCX,11.34,43.73,50,31.7,0,-9.18,0
ACLCX,9.65,42.43,98,26.33,0,-9.48,0
PHSKX,11.84,40.67,53,33.23,0,19.73,1
JSSGX,1.17,33.73,33,36.66,0,10.84,1
LMBHX,21.2,49.12,105,34.05,0,-5.850000000000001,0
FGIZX,20.88,50.44,179,37.08,0,-3.6700000000000013,0
MNDRX,-1.95,38.99,121,18.02,0,13.81,1
FHMCX,-0.16,41.17,94,14.9,0,-2.4800000000000004,0
FAVCX,12.99,41.45,111,24.19,0,-7.870000000000001,0
SSMHX,0.45,39.18,2566,7.33,0,3.43,1
JHJIX,28.08,49.22,64,34.53,0,2.92,1
ASVGX,3.66,42.21,102,23.62,0,-3.7500000000000013,0
PMFSX,10.63,40.46,404,9.38,0,-2.8300000000000014,0
PXSCX,3.77,44.25,61,32.06,0,-4.7200000000000015,0
JUEAX,27.73,46.67,57,40.08,0,2.890000000000001,1
GEGTX,28.23,42.96,57,43.1,0,7.600000000000001,1
JVTNX,-0.84,34.17,136,19.87,1,5.460000000000001,1
HRSCX,-3.52,38.75,97,24.09,0,3.67,1
LMCFX,14.38,44.93,77,18.35,0,-8.39,0
AZBCX,7.87,38.15,384,10.36,0,-2.890000000000001,0
AAGPX,12.54,48.12,168,21.82,0,-7.840000000000002,0
JVMIX,8.69,46.18,148,14.88,0,-6.8900000000000015,0
GFVRX,15.46,46.84,37,36.77,0,-5.280000000000001,0
BADAX,31.93,45.23,45,38.6,0,-3.9700000000000006,0
EPLIX,24.77,51.58,106,18.13,0,-7.780000000000001,0
RMDCX,12.26,39.89,71,22.58,0,9.989999999999998,1
VYMUX,12.1,39.72,369,8.59,0,-3.66,0
VSFAX,4.67,43.2,99,18.19,0,-8.74,0
MLUZX,11.84,41.79,95,20.83,0,-7.790000000000001,0
BCEGX,25.46,50.56,37,39.42,0,-4.9700000000000015,0
CSSVX,5.3,35.71,76,22.87,0,6.399999999999999,1
GFVSX,15.46,46.84,37,36.77,0,-4.050000000000002,0
FOCKX,26.26,39.39,170,50.9,0,12.9,1
HLIEX,19.37,46.33,87,22.55,0,-5.07,0
BUYCX,34.54,46.04,35,46.62,0,-11.34,0
FCVTX,7.21,41.03,98,19.68,0,-6.58,0
BMGAX,15.58,35.82,77,26.43,0,10.829999999999998,1
ISCGX,1.92,32.35,49,34.88,0,4.8599999999999985,1
SMFAX,13.87,36.36,96,18.81,0,8.27,1
JAVTX,-0.84,34.17,136,19.87,1,4.93,1
RSCCX,-8.33,43.24,41,38.97,1,6.1099999999999985,1
CRISX,0.8,43.82,45,36.33,0,-9.0,0
BIOPX,3.78,32.67,78,33.37,0,27.7,1
FGIKX,20.94,50.43,178,37.1,0,-3.5000000000000013,0
JSJAX,2.17,40.08,56,26.29,0,2.429999999999998,1
RTRRX,10.97,33.17,119,17.55,0,-8.42,0
ALVAX,12.54,48.12,168,21.82,0,-7.940000000000001,0
WSACX,18.23,31.89,43,37.03,0,-5.300000000000002,0
CBBRX,18.02,38.82,72,28.98,0,-6.82,0
RMFGX,24.68,48.98,175,23.07,0,-4.020000000000001,0
RIVCX,10.5,44.34,29,52.89,0,-9.19,0
EIVCX,18.02,46.08,44,32.42,0,-7.110000000000001,0
PMBJX,14.58,53.61,84,29.55,1,2.379999999999999,1
ATFPX,28.85,39.9,25,59.97,0,11.29,1
FEXPX,37.18,43.39,112,45.48,0,-9.65,0
DHTCX,7.51,46.68,35,48.18,1,-5.07,0
DHSMX,2.07,44.13,59,38.45,1,-12.3,0
PBEAX,17.93,49.78,70,23.71,0,-8.040000000000001,0
FKARX,22.0,38.66,111,36.73,0,9.16,1
ASIMX,-5.35,43.76,53,46.27,0,16.27,1
SUSYX,23.3,45.24,380,22.18,0,-5.860000000000001,0
GGLIX,19.24,45.98,31,45.68,0,3.61,1
LEVOX,18.51,43.93,27,58.67,0,-3.04,0
FEIQX,20.91,50.01,77,29.77,0,-4.250000000000001,0
AATIX,6.13,47.46,87,26.46,0,-5.280000000000001,0
TRGOX,20.24,36.92,67,48.46,0,9.41,1
NMUAX,23.55,47.38,44,42.81,0,-2.5900000000000007,0
DTLGX,31.32,41.6,307,55.97,0,6.3599999999999985,1
BIGRX,18.88,48.89,193,16.49,0,-3.7900000000000014,0
USGIX,28.01,43.7,243,27.14,0,-4.25,0
DGMIX,8.53,35.3,69,21.73,0,-10.4,0
FASOX,4.92,57.97,86,18.73,0,-5.020000000000001,0
TIMVX,7.32,44.71,95,17.82,0,-9.65,0
MVCJX,6.25,43.82,152,11.35,0,-5.300000000000002,0
FALGX,19.08,50.88,175,37.56,0,-4.210000000000001,0
STSIX,5.07,33.17,95,19.91,0,8.739999999999998,1
APGZX,31.44,33.09,53,46.37,0,8.8,1
DSEPX,27.55,45.05,323,34.89,0,3.92,1
CPEIX,29.29,48.45,29,49.61,0,-3.58,0
PVEYX,-1.64,48.72,67,21.5,0,-5.280000000000001,0
SPRAX,2.55,41.96,190,10.63,0,-14.830000000000002,0
LYRBX,14.55,58.23,34,47.37,0,-11.08,0
PMSGX,4.03,35.93,61,25.57,1,10.61,1
TAAGX,6.07,39.79,55,32.57,0,2.26,1
FSLVX,10.07,48.73,127,20.85,0,-6.5900000000000025,0
JDPRX,17.4,42.24,64,27.94,0,-9.23,0
LVAVX,15.96,46.75,188,19.24,0,-9.55,0
NMGAX,6.77,40.72,92,17.59,0,7.030000000000001,1
IMOZX,8.95,45.01,68,25.87,0,5.239999999999998,1
GCVCX,18.23,42.68,172,18.08,0,-10.87,0
QASCX,-0.01,40.72,299,13.11,0,-4.4700000000000015,0
NSMCX,8.15,33.08,58,27.51,0,-10.3,0
CHCIX,5.06,34.76,100,18.03,0,12.5,1
EDFWX,32.97,52.99,42,30.92,0,-8.15,0
ABMAX,2.21,48.49,124,18.37,0,-11.77,0
FAQIX,13.03,44.93,68,25.85,0,-9.66,0
FTHNX,14.38,38.02,116,27.53,0,-4.3100000000000005,0
APWVX,22.47,45.96,135,17.68,0,-3.870000000000001,0
BLYRX,22.81,47.17,81,25.91,0,4.49,1
LRSPX,8.29,41.39,75,20.79,1,-9.44,0
SDGTX,24.38,42.46,76,40.52,0,9.71,1
SGRKX,12.97,36.95,91,39.93,0,13.009999999999998,1
GWPDX,18.28,40.72,6,100.01,0,2.379999999999999,1
MXMVX,11.35,44.34,207,11.17,0,-10.39,0
TMDPX,9.93,36.66,76,24.85,0,6.330000000000003,1
CAAIX,12.35,44.9,42,35.59,0,-6.44,0
CSERX,13.94,50.95,39,35.82,0,-5.78,0
BBVLX,16.24,49.71,932,13.86,0,-3.8000000000000007,0
TSRPX,1.43,36.63,417,7.72,1,-2.54,0
GBCIX,12.88,46.03,61,36.15,0,-6.090000000000002,0
VSRAX,3.52,45.94,72,31.61,0,-9.14,0
VGRIX,18.64,46.29,96,21.31,0,-6.050000000000002,0
NSPCX,0.33,38.68,144,14.48,0,-3.5500000000000007,0
BMCAX,35.58,43.46,180,42.44,0,6.689999999999998,1
ASERX,30.81,42.53,56,57.74,0,6.32,1
ALLIX,31.44,33.09,53,46.37,0,8.599999999999998,1
FFQBX,20.25,36.94,44,47.14,0,14.179999999999994,1
LADRX,-6.16,30.88,102,17.28,0,23.100000000000005,1
BSVSX,7.61,42.42,43,37.9,0,-10.87,0
IPEIX,7.27,47.03,79,25.56,0,-5.760000000000002,0
FSSZX,7.34,36.1,225,11.03,0,2.2199999999999993,1
DUZRX,15.24,45.82,32,51.77,0,6.6099999999999985,1
RSQAX,20.07,45.23,262,21.16,0,-3.4200000000000013,0
MFUYX,12.25,47.16,154,19.97,0,-8.850000000000003,0
PXSIX,3.77,44.25,61,32.06,0,-4.200000000000001,0
