Ticker,ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,"Closed to New Investors (Yes=1, No=0)",3-year Annualized Return vs. S&P500,Outperform / Underperform
TRMCX,5.41,41.93,97,23.29,0,-6.200000000000001,0
JPFRX,27.34,45.23,41,40.37,0,2.77,1
HIBUX,12.38,38.13,73,23.11,0,-8.600000000000001,0
FMVQX,9.89,43.17,73,20.43,0,-7.250000000000001,0
HMIAX,2.64,28.27,121,13.63,0,-17.66,0
HSZCX,7.82,53.93,67,23.73,0,-33.05,0
NSMRX,8.15,33.08,58,27.51,0,-8.270000000000001,0
JVAIX,12.47,46.38,121,20.16,1,-7.6400000000000015,0
JDVRX,17.93,49.78,70,23.71,1,-8.850000000000003,0
PPUSX,24.37,39.91,499,35.21,0,8.75,1
DAFGX,24.33,39.89,33,52.41,0,13.43,1
IHSIX,-3.51,34.38,120,16.59,0,15.06,1
MALVX,18.04,46.21,308,17.78,0,-6.36,0
APHLX,13.52,46.18,41,40.65,0,-6.4,0
GRGTX,20.4,46.54,70,26.81,0,-5.740000000000001,0
PSLCX,3.29,41.64,111,15.3,0,-11.03,0
SZCTX,7.01,42.89,96,24.53,1,-3.8000000000000007,0
PPSNX,15.17,43.65,866,19.96,1,-7.15,0
WPLCX,23.41,45.12,26,60.32,0,-10.96,0
SVPSX,0.58,39.13,453,7.75,0,-10.3,0
PSVAX,4.8,40.45,1601,13.19,0,-8.48,0
JBGCX,23.98,36.48,122,48.03,0,4.18,1
LAMRX,30.34,49.18,57,29.38,0,-2.53,0
LCGRX,2.11,33.12,100,17.11,0,7.2499999999999964,1
DLMAX,11.97,45.5,97,18.57,0,-9.4,0
SPMIX,10.59,40.22,401,7.55,0,-2.74,0
GWSVX,1.83,54.31,38,53.98,0,-10.9,0
BPSIX,9.03,47.06,150,19.15,0,-7.9300000000000015,0
DMVIX,3.23,38.16,387,10.33,0,-2.5500000000000007,0
RMFFX,24.68,48.98,175,23.07,0,-4.130000000000001,0
FRSIX,2.16,37.87,126,18.99,0,10.779999999999998,1
MNDCX,-1.95,38.99,121,18.02,0,12.68,1
RGSFX,18.28,40.72,6,100.01,0,2.0599999999999987,1
SSTFX,18.38,35.31,44,49.59,0,6.699999999999998,1
MMFVX,24.13,51.41,71,37.72,0,-2.720000000000001,0
GSVPX,7.49,42.65,197,10.2,0,-5.4700000000000015,0
PFEIX,0.26,42.66,101,15.43,0,-10.22,0
GTSRX,-2.08,39.16,126,14.9,1,8.7,1
AMFCX,24.68,48.98,175,23.07,0,-6.23,0
ACSTX,9.82,46.41,83,25.49,0,-9.59,0
BRGNX,24.47,45.05,1025,23.99,0,2.5699999999999985,1
HPEYX,27.98,38.99,44,46.88,0,-10.84,0
POGBX,34.02,45.06,61,50.33,1,8.649999999999999,1
BRWJX,34.1,43.04,100,43.99,0,5.519999999999998,1
CBMCX,11.11,39.59,50,28.61,0,-7.960000000000001,0
RWMAX,20.76,46.39,182,30.64,0,-4.790000000000001,0
VCNIX,31.8,40.73,108,53.5,0,13.97,1
LMBAX,4.67,35.38,373,6.56,0,-5.740000000000001,0
NEJYX,7.06,42.78,54,31.14,0,-6.120000000000001,0
DNLCX,18.85,44.1,246,12.11,0,-11.0,0
FGSRX,26.82,41.82,135,28.99,0,4.369999999999999,1
GMHPX,25.13,49.28,132,18.17,1,-3.2700000000000014,0
CSMVX,13.18,22.74,41,34.43,0,9.439999999999998,1
DEURX,15.24,45.82,32,51.77,0,5.039999999999999,1
WEIMX,4.32,35.72,378,24.08,0,-6.53,0
